x,y,z
-0.000164341,-0.0494391,0.205391
0.049332,0.0188515,0.67171
0.0519995,0.0641085,1.10501
0.0460142,-0.0620609,1.51476
-0.0816963,0.0049283,1.9328
-0.023408,0.0601483,2.37239
0.0695191,0.0424366,2.9159
-0.017681,0.0306777,9.79896
-0.118964,-0.0560847,10.6403
-0.254434,-0.0543752,11.1311
0.202127,0.036754,10.9612
-0.122153,-0.373672,11.4172
-0.0517893,0.307136,11.2868
-0.427561,-0.16861,11.6796
0.327694,-0.26121,11.5146
-0.0051282,0.00928153,11.6038
-0.378058,0.29166,11.5976
0.29098,0.340945,11.5534
-0.0497695,0.546335,11.736
-0.388417,-0.57094,11.9339
0.030891,-0.57869,11.7857
0.0401218,-0.207591,12.0289
0.512159,-0.417696,11.9329
0.570042,-0.00589834,11.8047
-0.638808,0.162796,11.9885
0.211772,0.220575,11.9894
-0.443706,0.569606,11.975
0.364399,0.634935,11.9821
0.208833,-0.674248,12.1725
-0.702358,-0.256879,12.0913
-0.978927,0.0121344,12.2901
0.82516,-0.130353,12.1622
-0.19222,0.167328,12.1428
0.658376,0.294584,12.1102
-0.702827,0.448902,12.3217
-0.0865953,0.778956,12.1402
-0.150409,-1.00591,12.3577
-0.549945,-0.73583,12.3381
-0.84789,-0.441762,12.594
-0.164089,-0.486567,12.3354
0.665682,-0.573284,12.3792
-0.596251,-0.0324327,12.5051
-0.0188149,-0.130259,12.594
0.421659,0.00139637,12.3311
-0.258155,0.39691,12.5317
0.235382,0.42933,12.4295
0.680193,0.653413,12.4284
-0.430802,0.793236,12.4175
0.155999,1.01841,12.4804
0.623178,0.239451,12.6361
