x,y,z
-0.0585179,-0.0867236,0.123607
-0.0141117,-0.1037,0.12362
0.0483066,-0.092313,0.12362
-0.0909245,-0.0523566,0.123619
-0.0167432,-0.0476905,0.123542
0.0828204,-0.0574231,0.12362
-0.0572174,-0.0174428,0.123605
0.0299356,-0.0393357,0.123412
-0.104976,-0.00725808,0.123602
-0.0172435,0.00886242,0.12362
-0.0746739,0.0289852,0.123611
0.0501445,0.0346426,0.123423
0.0084077,0.0569503,0.123595
-0.0720788,0.0761525,0.123619
-0.031939,0.101062,0.123615
0.0164561,0.103499,0.123619
0.0612956,0.086249,0.12362
0.0119387,-0.0724886,0.151545
0.0199537,0.0131672,0.152619
0.0627109,-0.00853452,0.137511
0.10479,0.00884803,0.149805
-0.0356614,0.0504911,0.139334
0.0908612,0.0526671,0.138983
0.0037393,-0.105685,0.183782
-0.0398104,-0.0973669,0.165628
0.0483344,-0.0931397,0.174632
-0.0785456,-0.0698205,0.177829
0.0554696,-0.048345,0.161756
-0.101331,-0.0306744,0.164422
-0.0439428,-0.0421117,0.161616
0.00114681,-0.0284236,0.164575
0.100147,-0.0345357,0.167895
-0.0662582,0.00564481,0.163806
0.0647565,0.0105463,0.180672
-0.0215606,0.0160667,0.174959
-0.094072,0.0463368,0.163027
0.000326288,0.0576481,0.170086
0.0469423,0.0520475,0.166837
-0.0532127,0.0905532,0.164465
0.0383896,0.0982235,0.170556
-0.00792112,0.104928,0.164102
-0.0193255,-0.0658595,0.194198
-0.0690257,-0.0272492,0.198643
-0.0154434,-0.0209727,0.208126
0.0538293,-0.0409875,0.208099
-0.104909,0.0083303,0.190812
0.019367,0.00984587,0.199735
0.106218,-5.16493e-06,0.200688
-0.0626181,0.0183349,0.209261
-0.0847031,0.0637744,0.205917
-0.0393412,0.0570155,0.195377
0.0467635,0.0471034,0.213579
0.0895059,0.0555647,0.186647
-0.028709,0.101702,0.206401
-0.00319272,-0.105696,0.230368
-0.0494538,-0.0924842,0.218959
0.0622972,-0.086075,0.2192
-0.0856829,-0.0627627,0.224941
-0.0249446,-0.058316,0.240492
0.0210061,-0.0651692,0.231933
-0.103371,-0.0183228,0.22978
0.0977368,-0.0394379,0.225276
0.0449906,0.00778696,0.239369
-0.10166,0.0295124,0.233507
-0.0210226,0.0195328,0.231577
0.0958199,0.0431492,0.231781
0.00550374,0.0585551,0.233296
-0.0627532,0.0857618,0.241489
0.0196073,0.103125,0.239854
0.0631183,0.085204,0.236029
-0.066119,-0.0824264,0.26318
-0.0243776,-0.102502,0.272321
0.0264497,-0.102051,0.266959
0.0683226,-0.0802643,0.265673
-0.0947086,-0.045032,0.267865
-0.0586158,-0.0254335,0.244579
0.0101797,-0.021694,0.251604
0.0551197,-0.0355645,0.254748
-0.106157,0.00115712,0.272707
0.10619,0.000451576,0.249126
-0.0636765,0.0190772,0.25944
0.0103945,0.0251831,0.26637
-0.0884293,0.0579031,0.26962
-0.0327681,0.0547883,0.260614
0.051505,0.0481873,0.262961
-0.022925,0.102705,0.260372
-0.0387767,-0.0517061,0.286381
0.00689458,-0.0605679,0.278241
0.0543579,-0.0505425,0.29932
-0.0692054,-0.0168656,0.295915
0.0200417,-0.0182133,0.297894
0.0957009,-0.0436226,0.277384
-0.0278591,-0.00711959,0.275301
0.0604152,0.0015051,0.283521
0.10577,0.00383851,0.296244
-0.0557972,0.0427007,0.299961
0.00755162,0.0715786,0.278624
0.0934696,0.0479404,0.284636
-0.0567895,0.0888856,0.29025
0.0498464,0.0925026,0.280771
-0.00110372,-0.106238,0.313181
-0.0467842,-0.0939102,0.31293
0.0447496,-0.0951666,0.31126
-0.0838332,-0.0648776,0.309304
-0.103815,-0.0163982,0.328059
-0.0214175,-0.0198861,0.320204
0.057662,-0.0163185,0.331426
0.0981914,-0.039025,0.324226
-0.101174,0.0323143,0.307846
-0.0127809,0.0250849,0.307483
0.0486432,0.0393166,0.309272
-0.0802293,0.0684822,0.331102
0.0104559,0.06235,0.324858
0.0680235,0.0802782,0.322625
0.000815768,0.106156,0.310064
-0.0124672,-0.104548,0.358908
-0.0664811,-0.0822446,0.354212
0.03454,-0.100375,0.357063
0.0736399,-0.074919,0.342674
-0.0235006,-0.062831,0.339741
0.0231456,-0.0590191,0.333633
-0.0619007,-0.0353887,0.338728
0.00308753,-0.0255141,0.360149
-0.0660404,0.0113766,0.333676
-0.0231054,0.0131751,0.353731
0.0212402,0.0127622,0.337631
0.102515,0.0138139,0.342279
-0.100396,0.0342469,0.356658
-0.0355065,0.0566161,0.340251
0.0443746,0.0499516,0.355299
-0.0266174,0.102265,0.348297
0.0286722,0.101759,0.347936
-0.0437079,-0.0503952,0.380577
0.00210813,-0.066753,0.38299
0.0441032,-0.0447608,0.373472
0.0844363,-0.0641618,0.38843
-0.0978471,-0.0388795,0.369178
0.102492,-0.0251429,0.368973
-0.0632294,-0.0075973,0.376764
0.0628982,-0.000304379,0.375383
-0.0526439,0.0380679,0.380662
0.0124186,0.0253088,0.382221
-0.00111865,0.069047,0.370166
0.0905834,0.0539041,0.364201
-0.0661483,0.0828256,0.376015
0.0606892,0.0871469,0.379421
0.00106507,-0.106194,0.40894
-0.0431585,-0.0957909,0.393613
0.0456611,-0.0878913,0.401228
-0.0771873,-0.0717288,0.415664
-0.0767241,-0.0247156,0.418457
0.101851,-0.0295902,0.415817
-0.106084,0.00272011,0.393655
-0.0203971,-0.00687922,0.396654
0.0256258,-0.0142082,0.404357
0.0611661,0.0405632,0.398623
0.10395,0.0161378,0.391852
-0.0937685,0.0475785,0.401866
-0.0264354,0.0587539,0.414049
0.0207646,0.0582859,0.414748
-0.0279662,0.102145,0.395502
0.0184931,0.103559,0.40239
-0.0323712,-0.101255,0.441938
0.0600061,-0.0875678,0.446233
-0.0319567,-0.0568932,0.425819
0.0144483,-0.0651722,0.428419
0.0566995,-0.0452705,0.421623
0.00854016,-0.0225134,0.447593
-0.105816,0.00491538,0.440839
-0.0370579,-0.0124284,0.440871
0.066953,0.00114102,0.423899
-0.0589858,0.0266953,0.426063
-0.00227902,0.0202932,0.430785
0.0519192,0.0411252,0.445839
0.0963152,0.0429336,0.429922
-0.0923203,0.0505381,0.449554
-0.0672655,0.0806925,0.423192
0.030833,0.101501,0.447843
0.0675201,0.0808637,0.425717
-0.0158554,0.104068,0.441116
0.0144065,-0.104164,0.454949
-0.069437,-0.0795202,0.461466
-0.0163639,-0.0663107,0.469404
0.0302571,-0.0593464,0.472467
0.0890383,-0.05146,0.455457
-0.096846,-0.0409876,0.457893
-0.0533526,-0.0379574,0.477123
0.0549889,-0.019973,0.464368
-0.0691656,0.0060658,0.470559
0.0236978,0.0144141,0.472605
0.106072,0.00157967,0.451001
-0.0233498,0.0159777,0.476095
0.0977817,0.0400782,0.47701
-0.0391702,0.0572827,0.459499
0.0115103,0.0604359,0.460799
0.0655024,0.0831659,0.474022
