x,y,z
0.118349,-0.532857,0.0727877
0.254039,-0.542658,0.0687816
0.377157,-0.520544,0.0629731
-0.184653,-0.435237,0.0683682
0.045532,-0.41221,0.0624197
0.170089,-0.421471,0.0612665
0.296874,-0.419937,0.0621621
-0.382627,-0.352056,0.0629856
-0.259009,-0.334907,0.0621957
-0.129963,-0.325539,0.060611
0.433882,-0.389112,0.0618471
-0.57221,-0.285507,0.0627614
-0.335609,-0.237697,0.0621208
0.111376,-0.306772,0.0634913
0.234879,-0.312094,0.0619088
0.357097,-0.292545,0.0622555
0.485587,-0.263404,0.0622377
-0.459602,-0.23389,0.0631494
-0.201217,-0.223982,0.0627591
-0.0511612,-0.230695,0.0612936
0.16121,-0.175815,0.0612788
0.280425,-0.196057,0.0620039
0.401618,-0.170831,0.0626372
-0.523894,-0.0970063,0.0619327
-0.403468,-0.122935,0.062141
-0.279252,-0.127867,0.0666381
-0.157622,-0.103774,0.0606772
0.0698298,-0.0942627,0.0635995
0.519332,-0.132359,0.0622232
-0.298224,-0.00657799,0.0604254
0.185737,-0.052228,0.061775
0.312905,-0.0238796,0.0617463
0.450996,-0.0192164,0.062442
0.575141,-0.0192794,0.0695485
-0.565126,0.0194843,0.0621417
-0.413039,0.0417621,0.0619388
-0.138247,0.0173282,0.0617455
0.0862125,0.0667141,0.0629869
0.224864,0.0682812,0.0632041
-0.302866,0.116993,0.0628777
-0.111873,0.141402,0.0691358
0.34861,0.104123,0.0620637
0.485447,0.102004,0.0618278
0.609984,0.107,0.0656755
-0.566705,0.158695,0.0683338
-0.443392,0.16969,0.0631147
-0.339,0.235126,0.0628887
-0.217369,0.207565,0.0627739
0.0190196,0.192101,0.0604129
0.310975,0.222541,0.0631286
0.538672,0.215313,0.0728332
-0.52183,0.273112,0.0623991
-0.0751833,0.271733,0.0604043
0.128271,0.262929,0.0617474
0.428649,0.271138,0.0619975
-0.414617,0.336461,0.0616508
-0.291466,0.348082,0.0607313
0.0990083,0.384406,0.0625615
0.328976,0.37112,0.0631048
-0.14375,0.433983,0.0618703
-0.0249405,0.400843,0.0635893
-0.292834,0.472509,0.0630279
0.04007,0.506,0.0640704
0.254674,0.486286,0.0675688
-0.0731611,0.562872,0.0628086
0.134781,0.585836,0.0635998
0.0253216,0.644382,0.0640395
-0.246745,-0.666398,0.119154
-0.117682,-0.664785,0.109796
0.0251163,-0.636482,0.0994568
0.160872,-0.69794,0.147312
0.287292,-0.637146,0.142225
-0.343254,-0.580787,0.128308
-0.42083,-0.479579,0.105498
-0.231249,-0.54696,0.0935556
-0.108084,-0.541591,0.087164
0.00805224,-0.517094,0.124498
0.467693,-0.476368,0.142458
-0.305747,-0.449118,0.0766765
-0.0699858,-0.424933,0.105395
-0.498314,-0.3832,0.083222
0.531119,-0.363423,0.136318
-0.0485951,-0.313657,0.150772
-0.577374,-0.183846,0.126855
0.0575921,-0.207688,0.114745
0.610145,-0.16402,0.141033
-0.683981,-0.130368,0.145524
-0.0347297,-0.125868,0.12107
0.264011,-0.108734,0.147159
0.383981,-0.080363,0.145362
-0.702273,-0.0084178,0.12563
-0.464527,-0.0300329,0.148927
-0.226653,-0.0513774,0.149182
-0.0184178,-0.00918416,0.0775564
-0.621333,0.0843153,0.150366
-0.497848,0.0870698,0.138485
-0.198381,0.0786101,0.147119
-0.00864916,0.0998742,0.136956
0.105973,0.167236,0.139834
0.21481,0.225758,0.141503
0.425927,0.175578,0.140072
0.640837,0.213058,0.14387
-0.632424,0.244138,0.12885
-0.437917,0.256997,0.151746
0.0264203,0.303314,0.11903
-0.575866,0.354125,0.13861
-0.179152,0.321841,0.09534
0.214177,0.375983,0.108202
0.443459,0.386118,0.106924
0.5596,0.378435,0.148687
-0.483833,0.432726,0.0981814
-0.357801,0.405609,0.14575
-0.395338,0.5172,0.116625
-0.193925,0.543363,0.089323
-0.0716982,0.475769,0.151501
0.146508,0.478842,0.126547
0.393007,0.497836,0.129116
-0.298457,0.593691,0.131269
0.301106,0.579976,0.141609
-0.140982,0.651336,0.116286
-0.174908,-0.716766,0.205565
-0.0295106,-0.703239,0.188093
0.0785302,-0.627649,0.208684
-0.0806039,-0.589913,0.198145
0.183622,-0.576735,0.166422
0.402275,-0.582045,0.225849
-0.400491,-0.495281,0.226094
-0.285651,-0.54233,0.228094
-0.181704,-0.478186,0.182846
0.35209,-0.47827,0.18061
-0.512093,-0.465814,0.188309
-0.302733,-0.425398,0.195075
0.00132351,-0.41717,0.20494
0.110881,-0.466351,0.177093
0.233308,-0.463231,0.15938
-0.586569,-0.370763,0.169387
-0.446671,-0.362147,0.19107
-0.190794,-0.355161,0.163232
0.176864,-0.353492,0.161731
0.299461,-0.338034,0.165601
0.416319,-0.372297,0.183597
-0.650313,-0.26491,0.185834
-0.526841,-0.268625,0.200409
-0.337707,-0.310749,0.168688
-0.23944,-0.240145,0.179929
-0.129411,-0.26783,0.229131
0.0666555,-0.312092,0.188877
