x,y,z
0.00595167,-0.113128,0.115746
-0.068885,-0.0899983,0.115747
-0.0396429,-0.106258,0.115729
0.042571,-0.104784,0.125236
0.0689354,-0.0904019,0.115746
-0.0395088,-0.0698187,0.115736
-0.0136505,-0.088478,0.115747
0.0275863,-0.0787634,0.115735
-0.0992855,-0.0533112,0.115732
-0.0677551,-0.0557104,0.115747
-0.0044107,-0.0583721,0.115747
0.0524967,-0.0594901,0.115746
0.0912282,-0.0680468,0.115747
-0.0468111,-0.0321806,0.11574
0.0243071,-0.0454443,0.115714
0.0805777,-0.0372928,0.115739
-0.0832329,-0.0272284,0.122907
-0.0153345,-0.0288352,0.115723
0.110255,-0.0240524,0.115746
-0.111303,-0.00881034,0.115747
-0.0660693,-0.0019141,0.115695
-0.00388267,-0.000527859,0.123279
0.0266192,0.000402422,0.115679
0.0840761,-0.00317124,0.115694
-0.0912886,0.0130409,0.127107
-0.0479373,0.0237905,0.1157
-0.0130114,0.0285814,0.115697
0.0157369,0.0270127,0.128392
0.0561324,0.0113062,0.115732
0.0866083,0.0219727,0.134456
0.112421,0.0105124,0.115746
-0.107235,0.0377455,0.115879
-0.0757854,0.0392246,0.115738
0.0689021,0.0400598,0.115734
0.101656,0.0434628,0.115747
-0.0909864,0.0683915,0.115698
-0.0585774,0.0655861,0.115703
-0.0272334,0.0625618,0.115745
0.00342041,0.055361,0.115676
0.0568925,0.0647937,0.131022
-0.0725424,0.0868626,0.13423
-0.000907451,0.0865561,0.115745
0.0310317,0.0739765,0.115693
0.0804675,0.0788937,0.115743
-0.0485704,0.0954384,0.115732
-0.0231177,0.0998488,0.133678
0.0488695,0.101552,0.115746
0.0188485,0.111085,0.115747
-0.0209488,-0.110836,0.140595
-0.0528339,-0.0995396,0.143526
0.0172396,-0.105559,0.144154
-0.0871551,-0.0722394,0.137786
0.00876346,-0.0754198,0.140736
0.0724461,-0.0869411,0.146852
-0.0562541,-0.068254,0.142363
-0.0226452,-0.0689254,0.142298
0.072786,-0.0562895,0.13962
-0.0740219,-0.0429834,0.148523
-0.0389022,-0.0424105,0.147131
-0.00773676,-0.0388295,0.144574
0.0223687,-0.0477655,0.146995
0.102624,-0.0468406,0.136102
-0.109468,-0.0294138,0.140125
-0.0859036,-0.0119749,0.152912
-0.0571053,-0.0173678,0.141543
0.0353773,-0.0210844,0.136738
0.0667369,-0.0185163,0.136878
-0.113925,0.00128729,0.145547
-0.0281658,-0.00515529,0.142695
0.0047836,0.00937208,0.152027
0.0484812,0.00606124,0.145813
0.10299,-0.00624621,0.140688
-0.0652615,0.0252596,0.141905
-0.0305274,0.0263841,0.141721
-0.109037,0.0321384,0.149531
0.062175,0.0378425,0.146412
0.106213,0.0398623,0.151374
-0.0957387,0.0604105,0.145657
-0.0567921,0.056727,0.145791
-0.0077555,0.0623641,0.144124
0.0235635,0.0552196,0.139821
0.086345,0.0623947,0.141917
-0.037594,0.0803672,0.153735
0.018316,0.086173,0.141722
0.0377024,0.10734,0.154649
0.0650613,0.0933524,0.141485
0.00318808,0.113628,0.144046
-0.0352659,-0.108506,0.168545
-0.0629838,-0.0943914,0.173465
-0.00965886,-0.0902681,0.16143
0.0439159,-0.104197,0.160839
-0.0371214,-0.0769752,0.16908
0.0345517,-0.0742623,0.158749
-0.101241,-0.0494928,0.16294
-0.0591893,-0.0549977,0.173516
0.00174688,-0.0556293,0.169425
0.0819826,-0.0295656,0.162008
-0.111355,-0.0178811,0.170388
-0.0166759,-0.0147496,0.170308
0.0131383,-0.0201531,0.158974
0.0512066,-0.0231964,0.1638
0.111094,-0.0192789,0.168192
-0.0482141,-0.00167952,0.167354
0.0774187,0.00295539,0.15781
-0.11207,0.0133307,0.174607
-0.0808783,0.0155271,0.167387
-0.0517992,0.0292534,0.171976
-0.0191991,0.0188752,0.170058
0.112242,0.0120023,0.164756
-0.077515,0.0467965,0.167243
0.0335275,0.0311319,0.157612
0.0806404,0.0321917,0.171272
-0.0306281,0.0503472,0.162074
0.0126047,0.0638414,0.168041
0.0457765,0.0635535,0.160405
0.096313,0.0593582,0.17403
-0.0794559,0.0799985,0.164158
0.0761861,0.0832144,0.169955
-0.00644996,0.0888524,0.160924
-0.0300584,0.109436,0.163176
0.0128804,0.112097,0.173955
-0.00690692,-0.113112,0.182888
0.0243843,-0.110328,0.184771
0.0596572,-0.0961654,0.186854
-0.0861404,-0.0733337,0.176908
-0.0207213,-0.0871305,0.19397
0.0106857,-0.0820488,0.183922
0.0824593,-0.0770071,0.176795
0.0663374,-0.0501673,0.179963
0.100491,-0.0512799,0.175204
-0.106205,-0.0397387,0.192472
-0.0799498,-0.0311615,0.177163
-0.0278496,-0.0479318,0.176943
0.0108482,-0.0319669,0.188024
0.0352696,-0.0475287,0.175685
-0.0498939,-0.0272182,0.185688
0.0616039,-0.0121377,0.191316
0.0886849,-0.0280266,0.192714
-0.0907818,-0.00411123,0.18982
-0.0292038,0.00149281,0.194226
0.00256242,0.00364409,0.187048
0.0313942,-0.00840889,0.183308
0.0870207,0.00606781,0.187628
0.054296,0.0154119,0.17532
-0.104,0.0442836,0.184026
