x,y,z
-0.446844,-0.410622,0.247281
-0.202232,-0.598219,0.212189
0.107122,-0.598771,0.190624
0.367989,-0.430675,0.155589
-0.0567274,-0.333039,0.155015
-0.416599,-0.116375,0.153597
-0.117948,-0.0295116,0.155414
0.195699,-0.152239,0.155451
0.508388,-0.151867,0.155655
-0.61157,0.122664,0.199434
0.179102,0.168843,0.151921
0.542379,0.159347,0.155592
-0.420184,0.374237,0.15703
-0.111498,0.280253,0.155192
-0.171311,0.579826,0.198407
0.132479,0.476769,0.157017
0.434002,0.44562,0.22712
0.0119456,-0.439149,0.438014
0.301009,-0.562095,0.430188
-0.240606,-0.222603,0.385806
0.538999,-0.342925,0.400355
-0.6184,-0.162882,0.381671
0.640722,-0.038629,0.413198
-0.327173,0.129822,0.32127
0.045387,0.0516103,0.406041
0.348662,0.0231544,0.358731
-0.497875,0.398122,0.458116
-0.0790837,0.332513,0.459704
0.228699,0.302815,0.427027
0.578958,0.272672,0.441864
0.0473176,0.636128,0.409072
0.10141,-0.631155,0.663918
-0.496017,-0.401303,0.552706
-0.246131,-0.58997,0.51957
0.25381,-0.249168,0.479347
-0.450195,-0.0986557,0.63296
-0.0241672,-0.179671,0.602529
0.346069,-0.0143911,0.660255
-0.629508,0.12029,0.508744
-0.197924,0.0765674,0.593394
-0.253087,0.587905,0.494583
0.30092,0.565781,0.571595
-0.35731,-0.529582,0.802327
0.435753,-0.465888,0.692552
-0.563585,-0.301092,0.83779
-0.24391,-0.238008,0.815142
0.0546787,-0.372579,0.829966
0.603937,-0.206545,0.673489
-0.341525,0.110042,0.862232
0.0538559,0.0656362,0.773059
0.631372,0.101007,0.695464
-0.566634,0.295578,0.755483
-0.129064,0.323921,0.766853
0.17995,0.348244,0.756788
0.505782,0.388028,0.721249
-0.362512,0.52733,0.775206
-0.0334522,0.639782,0.70842
-0.0863079,-0.634316,0.913333
0.265536,-0.581038,0.924135
0.520083,-0.370419,0.977781
-0.00216883,-0.0658287,1.04984
0.282624,-0.181773,0.910137
0.632365,-0.0782779,0.95695
-0.637871,0.0277057,0.896848
0.31194,0.127939,0.931085
-0.514391,0.374885,1.05233
0.596586,0.232103,0.972402
0.0254451,0.542972,0.995549
0.341883,0.539013,0.939049
-0.146241,-0.623059,1.21755
0.165689,-0.615936,1.21439
-0.406581,-0.491163,1.10731
-0.130773,-0.347807,1.07951
0.164294,-0.307767,1.16796
-0.610214,-0.187483,1.11867
0.38563,-0.050869,1.16984
-0.428055,0.0923359,1.15924
0.62727,0.12048,1.25923
-0.184753,0.278114,1.07035
0.121798,0.276769,1.1223
-0.275734,0.575619,1.06448
0.228019,0.59502,1.22455
0.481837,0.418854,1.19039
0.393687,-0.501847,1.39289
