x,y,z
0.146153,0.112929,0.224013
-0.138145,-0.119607,0.224617
0.125062,-0.137847,0.224222
-0.116758,0.14313,0.224322
-0.00938495,-0.185819,0.428085
0.184318,-0.0159103,0.433683
-0.184832,0.0168258,0.428287
0.021668,0.183851,0.427592
-0.140058,-0.122191,0.630497
0.118378,-0.142667,0.637931
0.140097,0.120699,0.637276
-0.116157,0.144481,0.631264
-0.0207543,-0.184354,0.840275
0.184752,-0.0141659,0.841553
-0.184851,0.0160567,0.833196
0.0121418,0.184537,0.841345
0.117563,-0.143308,1.04319
-0.147742,-0.112875,1.04284
-0.125104,0.136141,1.04359
0.139469,0.121419,1.04627
-0.0212262,-0.184858,1.24439
0.18406,-0.0175185,1.24851
-0.184768,0.016268,1.25354
0.00819775,0.184519,1.24924
0.112402,-0.146717,1.44941
-0.139037,-0.123543,1.45442
-0.119236,0.14124,1.45981
0.139766,0.120745,1.45191
-0.0143209,-0.186087,1.66005
0.182552,-0.0328488,1.65833
-0.184806,0.00751791,1.6607
0.0140469,-0.0899191,1.88636
0.140746,0.121079,1.84898
-0.105997,0.153768,1.84564
-0.184966,-0.0114765,2.01512
0.184389,-0.0162979,2.05307
0.0204195,0.183993,2.05817
-0.0316671,-0.182729,2.11176
-0.144898,-0.11745,2.32333
0.1309,-0.132438,2.29292
-0.14759,0.113137,2.22835
0.145487,0.114445,2.26187
-0.0224218,0.184279,2.43229
0.0116445,-0.184568,2.5053
-0.185019,0.0207112,2.52656
0.184486,0.0151097,2.48699
-0.123651,-0.137382,2.70967
0.148844,-0.110166,2.69949
-0.14296,0.119315,2.75187
0.0833894,0.166532,2.65768
0.026848,-0.183514,2.90378
0.17126,0.0697224,2.87069
-0.179041,-0.0461609,2.93521
-0.0301468,0.182496,2.96543
-0.078526,-0.167349,3.12932
0.168474,-0.0758153,3.07886
-0.166698,0.0819339,3.14858
0.10932,0.148979,3.16986
0.0988816,-0.156163,3.30503
-0.170431,-0.0752484,3.34225
0.165893,0.0821394,3.40399
-0.0589987,0.176523,3.3523
-0.0325949,-0.181988,3.52106
0.172583,-0.0665951,3.60402
-0.179433,0.0441312,3.56126
0.0265164,0.183326,3.5867
-0.137129,-0.124599,3.7406
0.0961693,-0.158115,3.82361
-0.120378,0.140182,3.78419
0.153923,0.103411,3.78607
-0.184603,-0.0217975,3.96338
0.184738,-0.0116718,4.00576
0.0236724,0.183424,3.98379
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
-1,-1,0
