x,y,z
0.0519238,-0.435864,0.562484
-0.237202,-0.383297,0.561687
0.206535,-0.40039,0.560836
-0.330002,-0.298116,0.560674
-0.0323582,-0.340197,0.562056
0.112647,-0.317882,0.561664
0.307726,-0.294519,0.561345
-0.401937,-0.203267,0.593722
-0.225411,-0.229524,0.562412
0.0246366,-0.225859,0.562482
0.17796,-0.211724,0.561628
-0.304531,-0.13301,0.561813
-0.126789,-0.152822,0.561583
0.291878,-0.162218,0.562389
0.416862,-0.165859,0.562484
-0.442829,-0.090484,0.562129
-0.206107,-0.0572929,0.561993
-0.0122436,-0.103449,0.561775
0.111315,-0.0882298,0.560935
-0.445831,0.0337727,0.562204
-0.0821092,-0.000267628,0.561923
0.0407428,0.0226628,0.562381
0.44876,-0.0389173,0.561532
-0.29063,0.0438314,0.562105
0.246214,0.0529945,0.562179
0.374852,0.0551208,0.593321
-0.229479,0.152624,0.561774
0.155917,0.138925,0.560889
0.410042,0.171711,0.562478
-0.351609,0.224291,0.562243
-0.027243,0.197836,0.562248
0.128431,0.260646,0.561183
0.297195,0.225506,0.561387
-0.300472,0.337546,0.562028
-0.115228,0.285962,0.560842
0.0281897,0.334816,0.561199
0.288834,0.34551,0.595235
-0.189821,0.394765,0.562244
0.179586,0.395811,0.562241
-0.0485441,0.434249,0.562484
-0.0950223,-0.439133,0.605013
-0.298328,-0.339699,0.67027
-0.144956,-0.313577,0.607555
0.0427683,-0.34221,0.661132
0.210485,-0.304966,0.636592
-0.0690681,-0.222959,0.645518
0.376186,-0.24822,0.653073
-0.188159,-0.177374,0.669628
0.0339242,-0.154473,0.664666
0.157924,-0.161978,0.673534
-0.123309,-0.0718304,0.655258
0.220941,-0.0723749,0.615404
0.347395,-0.0692534,0.623194
-0.355495,-0.0371593,0.631205
-0.00519855,-0.0339704,0.665003
0.117913,-0.00958166,0.654998
-0.328135,0.0907234,0.671161
-0.180407,0.0508082,0.619694
-0.0647843,0.0881821,0.647283
0.181963,0.0951125,0.672384
-0.426831,0.142757,0.618278
0.0519322,0.128302,0.628191
0.303109,0.138244,0.650345
-0.220973,0.262187,0.621054
-0.113213,0.203076,0.653576
0.0432874,0.250763,0.650764
0.20595,0.214661,0.6449
0.364693,0.267242,0.655874
-0.0524291,0.333598,0.65419
0.122102,0.346575,0.661253
-0.125844,0.433372,0.661392
0.0714751,0.44441,0.601198
-0.038577,-0.449705,0.715984
-0.193235,-0.406329,0.674738
0.0756972,-0.419579,0.752143
0.174099,-0.415334,0.679024
-0.146243,-0.305947,0.732054
0.288612,-0.34691,0.723874
-0.375738,-0.248922,0.706567
-0.256906,-0.250257,0.743901
0.00792321,-0.251125,0.738229
0.128103,-0.273153,0.721734
0.245751,-0.23157,0.727112
-0.432383,-0.123478,0.684134
-0.309524,-0.146378,0.684793
-0.0587326,-0.130661,0.74436
0.336196,-0.14941,0.71636
-0.241413,-0.0417203,0.679371
0.0933928,-0.0848977,0.749109
0.227588,-0.0821195,0.739814
0.442998,-0.0883442,0.701442
-0.449376,0.0235981,0.686555
-0.337002,-0.00408977,0.749977
-0.0998473,0.0145804,0.741305
0.27838,0.0176309,0.67689
0.448123,0.036132,0.692432
0.0456502,0.0585415,0.730521
0.349195,0.0831119,0.752326
-0.414867,0.177452,0.737559
-0.224009,0.156051,0.685143
-0.0161097,0.1719,0.724925
0.10801,0.173783,0.732981
0.420659,0.160209,0.686481
-0.357852,0.2739,0.676764
-0.25365,0.257814,0.749592
-0.155994,0.330046,0.723251
0.299346,0.338925,0.734017
-0.268324,0.361073,0.679509
0.194189,0.405759,0.743672
0.00548542,0.449656,0.70676
-0.249824,-0.370303,0.779074
-0.14027,-0.429721,0.783989
0.190909,-0.403789,0.800334
-0.34133,-0.292719,0.825258
-0.0460471,-0.348801,0.792104
0.0712053,-0.317846,0.822449
-0.0889146,-0.230236,0.813047
0.374487,-0.250898,0.777149
-0.415467,-0.175475,0.799512
0.0383179,-0.16693,0.824059
0.159187,-0.178561,0.796795
0.39514,-0.137714,0.825943
-0.446892,-0.0551674,0.787107
-0.287129,-0.106822,0.799466
-0.164716,-0.0816571,0.787695
0.340728,-0.0392702,0.77123
-0.00569288,-0.0354123,0.805365
0.156751,0.0207423,0.768791
0.262045,0.0364229,0.829324
0.449452,-0.0252536,0.830451
-0.444768,0.0683588,0.802905
-0.223797,0.0539028,0.75492
-0.0281314,0.0961013,0.822147
-0.302303,0.147339,0.781856
-0.129109,0.134116,0.76134
0.219087,0.143453,0.780355
-0.363584,0.268361,0.806128
-0.0977121,0.248691,0.796448
0.198903,0.270347,0.752609
0.323547,0.205127,0.75379
-0.0309102,0.350605,0.772098
0.0760719,0.289458,0.763785
-0.24308,0.377351,0.799715
-0.125102,0.433323,0.78617
-0.108275,-0.436376,0.903612
0.00132185,-0.449921,0.846351
0.112071,-0.435934,0.90072
-0.264898,-0.363341,0.900406
-0.151591,-0.328986,0.855623
0.189878,-0.288293,0.848093
0.307535,-0.3303,0.84587
-0.00380568,-0.256403,0.899995
0.279263,-0.201249,0.840631
0.379756,-0.243989,0.900869
-0.327575,-0.185406,0.887825
-0.204066,-0.190571,0.837429
-0.0670813,-0.12207,0.870503
0.0984521,-0.0650832,0.871718
0.219476,-0.0948332,0.866848
-0.357963,-0.0315025,0.86867
-0.237939,-0.0101012,0.858644
-0.119119,0.0232871,0.863726
-0.324074,0.0855946,0.888019
0.0951317,0.101169,0.84179
0.440809,0.0990706,0.833672
-0.415453,0.171874,0.865226
-0.207697,0.120911,0.859059
-0.0982638,0.170559,0.893005
0.207109,0.125449,0.902012
0.323382,0.139337,0.858854
-0.300091,0.206875,0.90039
-0.187842,0.257135,0.882324
0.0133882,0.212343,0.839078
0.138194,0.218339,0.845601
0.251502,0.267113,0.864908
0.374217,0.25242,0.857335
-0.306557,0.331287,0.896731
-0.10237,0.346875,0.872049
0.0350104,0.330944,0.874166
0.15458,0.342555,0.843167
0.0101347,0.450275,0.831488
0.00962309,-0.449437,0.970342
0.226394,-0.391351,0.9175
-0.344625,-0.289798,0.959942
-0.085057,-0.328148,0.961125
0.0955199,-0.320376,0.94354
0.314228,-0.322935,0.970693
-0.208696,-0.259777,0.941522
-0.0987578,-0.203927,0.961984
0.119739,-0.20232,0.911048
0.234546,-0.222055,0.954246
0.327152,-0.139768,0.935607
-0.440839,-0.101152,0.924797
-0.294131,-0.0877777,0.959093
-0.175833,-0.111746,0.927765
-0.0755287,-0.0391781,0.962956
0.0226553,-0.116174,0.956361
0.147908,-0.102758,0.979861
0.442245,-0.0939164,0.934091
-0.448183,0.0354409,0.923384
-0.207186,-0.00146716,0.975933
0.0224922,0.0257769,0.90998
0.166559,0.0140041,0.940379
0.296219,-0.0213756,0.931947
0.448333,0.0343243,0.940311
-0.115065,0.0782468,0.974135
0.0882815,0.101052,0.983952
0.339664,0.0802837,0.98534
-0.375827,0.14906,0.981125
-0.237388,0.133484,0.979793
0.292165,0.192453,0.964421
0.418289,0.166749,0.936036
-0.0421858,0.268079,0.947503
0.0716604,0.218844,0.94842
0.187521,0.257096,0.970639
0.0940158,0.336546,0.982831
0.325183,0.311377,0.955714
-0.205684,0.401152,0.915597
-0.0247076,0.414317,0.945552
0.231467,0.388157,0.927596
0.1067,0.436858,0.90957
-0.0875727,-0.440879,1.04739
0.133611,-0.431005,1.02371
-0.192098,-0.406829,0.989635
-0.284069,-0.349272,1.05166
-0.166563,-0.301909,1.05138
0.0144105,-0.34306,1.03482
0.196635,-0.32337,1.01567
-0.285152,-0.197058,1.01663
0.0481952,-0.226172,1.00842
0.162574,-0.207839,1.05475
0.294961,-0.240962,1.0611
0.404755,-0.197964,1.01436
-0.408548,-0.191987,1.00234
-0.0663421,-0.124259,1.05397
0.256818,-0.126431,1.03479
-0.447856,-0.0407403,1.03312
-0.191165,-0.1142,1.04997
0.364841,-0.0643859,1.02674
-0.345377,0.0210234,0.992886
0.0658453,-0.0167513,1.01761
0.245877,0.0176044,1.03839
-0.444113,0.0806012,1.0589
-0.0232112,0.156289,0.995667
0.200151,0.135885,1.02501
0.433944,0.123045,1.05139
-0.360842,0.271368,0.991572
-0.139725,0.213006,1.00298
0.384273,0.235307,1.03505
-0.237499,0.290073,0.992
-0.126324,0.346123,0.99232
-0.0134372,0.340533,1.04559
0.203812,0.401196,1.04719
-0.0818891,0.44353,1.0525
0.0629709,0.446837,1.02837
0.0260068,-0.449966,1.09631
-0.188634,-0.408357,1.11234
-0.0597277,-0.355844,1.13464
0.276259,-0.355481,1.10553
0.157727,-0.327734,1.13253
-0.398728,-0.204569,1.12579
-0.250553,-0.247128,1.12425
-0.0550483,-0.247228,1.07298
0.0576028,-0.254728,1.12809
0.390529,-0.225407,1.13684
0.0685474,-0.125422,1.07704
-0.345706,-0.102996,1.07153
0.174745,-0.066375,1.10187
0.295367,-0.0525171,1.12911
0.436401,-0.112185,1.11732
-0.370064,0.00734388,1.1263
-0.255743,-0.0142757,1.08718
-0.130197,-0.00819678,1.07217
-0.0139732,-0.0224624,1.11289
