x,y,z
-0.0442127,-0.465886,0.546728
0.0815613,-0.458105,0.546694
-0.159067,-0.436737,0.546866
0.0172586,-0.390544,0.546653
0.18245,-0.427294,0.546866
-0.306001,-0.352461,0.54618
-0.178369,-0.341888,0.546758
-0.075345,-0.37996,0.545541
0.0930204,-0.334326,0.546866
0.206259,-0.3238,0.545751
0.289293,-0.365128,0.546437
-0.370027,-0.284098,0.546686
-0.109912,-0.278869,0.545853
-0.0211431,-0.305237,0.546317
0.302331,-0.2732,0.546811
-0.198433,-0.250439,0.546164
-0.0492881,-0.207011,0.546395
0.0515267,-0.249876,0.554464
0.143094,-0.255007,0.546057
0.226435,-0.212658,0.546114
0.393533,-0.248051,0.546776
-0.353002,-0.160365,0.546554
-0.264101,-0.184831,0.54449
0.0980629,-0.170034,0.545107
0.317283,-0.181568,0.546248
0.406673,-0.155273,0.546393
-0.44596,-0.132604,0.546845
-0.277263,-0.0916108,0.545575
-0.087836,-0.121658,0.546492
0.01129,-0.135557,0.546518
0.246856,-0.121268,0.546282
-0.463615,-0.0380211,0.54752
-0.376299,-0.0707692,0.546047
-0.163432,-0.0664106,0.546794
0.0945498,-0.0645553,0.545778
0.32878,-0.0767337,0.546279
0.459225,-0.077851,0.546819
-0.304092,0.00522824,0.545145
-0.170715,0.027018,0.546451
-0.0803833,-0.0229951,0.546457
0.0129305,-0.0204616,0.546193
0.163712,0.00901417,0.545658
0.24847,-0.0284448,0.546268
0.328645,0.0182199,0.545897
0.465842,0.0155128,0.54689
-0.461578,0.0554525,0.546863
-0.369084,0.0719776,0.545882
-0.0523478,0.0666414,0.546212
0.398409,0.0804073,0.546601
-0.439902,0.146408,0.546739
-0.231623,0.0974317,0.546158
0.0032359,0.142254,0.545278
0.118902,0.0912815,0.546724
0.309761,0.109517,0.546193
-0.258136,0.187102,0.546341
-0.122595,0.148166,0.545562
0.0828236,0.193552,0.546866
0.22859,0.154933,0.545829
0.347766,0.193823,0.546709
-0.402926,0.232174,0.546637
-0.173104,0.225812,0.545195
-0.0561374,0.214034,0.546317
0.176561,0.232832,0.545668
0.269459,0.245366,0.546839
-0.348393,0.307938,0.546093
-0.248747,0.280982,0.546388
-0.107343,0.291664,0.546813
0.0070792,0.307146,0.54596
0.10525,0.293011,0.545689
0.355898,0.286421,0.546114
-0.278785,0.372021,0.546864
-0.187006,0.35028,0.545999
-0.0815106,0.380724,0.546066
0.0777989,0.381956,0.546584
