x,y,z
-0.0482582,-0.0996806,0.117715
0.0099765,-0.110563,0.117605
0.00874132,-0.0744791,0.117712
0.06952,-0.0871129,0.117653
-0.091366,-0.0645368,0.117701
-0.0560147,-0.0629353,0.117713
0.042582,-0.06417,0.11769
-0.106895,-0.0327283,0.117712
-0.0715026,-0.0310746,0.117711
-0.0332634,-0.0358402,0.117639
0.107366,-0.029899,0.117475
-0.0395821,-0.000330555,0.117715
-0.000631711,-0.0220378,0.117711
0.040444,-0.0189621,0.117698
0.0756704,-0.0140668,0.117712
-0.111774,0.00233268,0.117654
-0.0764063,0.00401329,0.117701
-0.00597148,0.0129868,0.117656
0.0538367,0.0138308,0.117704
-0.103666,0.036811,0.117678
-0.03275,0.0361739,0.117706
0.0237191,0.0324955,0.117713
0.106873,0.033111,0.117676
-0.0804114,0.0634965,0.117617
0.0557833,0.0520172,0.117715
0.0906274,0.064405,0.117654
-0.0148776,0.0692147,0.117711
0.0206171,0.0720542,0.117715
-0.0611218,0.0931254,0.117674
-0.0276812,0.10464,0.117683
0.0350027,0.106442,0.117717
0.0663633,0.0901126,0.117697
-0.0186143,-0.109181,0.138172
0.0414427,-0.103162,0.131909
-0.0727536,-0.0838957,0.140798
-0.0248547,-0.0755798,0.128761
0.0929564,-0.0614625,0.123971
0.0201696,-0.0439418,0.136211
0.0649127,-0.0429648,0.135159
0.019445,0.000984247,0.139126
0.081731,0.0193314,0.138833
0.111778,0.00160518,0.132654
-0.0653408,0.0346595,0.131506
-0.00389575,0.0421155,0.137721
-0.0464416,0.0649113,0.133222
0.00347626,0.111553,0.132898
-0.0465974,-0.100566,0.157804
0.0136361,-0.109905,0.152795
0.00722426,-0.0750593,0.153084
0.0737405,-0.0828091,0.152407
-0.0983519,-0.0507958,0.149602
-0.0549443,-0.0514717,0.15122
-0.0139423,-0.0463095,0.145416
0.0422077,-0.0666601,0.153027
0.107381,-0.0302515,0.152452
-0.109417,-0.0171365,0.149426
-0.0743806,-0.0218513,0.151793
-0.0379087,-0.020478,0.149068
0.00268698,-0.0199891,0.162285
0.0424837,-0.0220902,0.152893
0.07663,-0.012698,0.153102
-0.109174,0.0182902,0.149021
-0.0753277,0.0130672,0.157715
-0.016409,0.00758999,0.150981
0.0485406,0.0159362,0.15266
-0.0399897,0.0334397,0.156166
-0.0979676,0.0517697,0.149206
0.0299048,0.0475539,0.149181
0.0651103,0.0465315,0.159299
0.0998343,0.0480241,0.149036
-0.0764217,0.0797331,0.148639
-0.00628917,0.0777063,0.151015
0.0441949,0.0794008,0.143159
0.0795478,0.0770697,0.14864
-0.0451266,0.101299,0.148265
-0.014346,0.109899,0.163428
0.0284547,0.107608,0.157714
-0.0151007,-0.107137,0.173338
0.0458787,-0.0992643,0.166843
-0.0719184,-0.0847985,0.176654
-0.0258857,-0.0729358,0.165485
0.0257786,-0.0751347,0.183252
-0.000840497,-0.0514181,0.178214
0.0943629,-0.0588881,0.168572
-0.0640786,-0.0291839,0.184887
-0.0272934,-0.0281464,0.181904
0.0642065,-0.0410777,0.173347
0.0289027,-0.00494618,0.180686
-0.111926,0.0018341,0.18008
-0.0475097,0.000741821,0.175652
-0.013908,0.00437746,0.18615
0.0769367,0.0164537,0.173821
0.111968,0.00125352,0.167923
-0.105648,0.0366819,0.180327
-0.0665966,0.0404462,0.178388
0.0117019,0.0225712,0.166479
0.0421831,0.0275271,0.185516
0.106943,0.0331063,0.182578
-0.0137296,0.0449412,0.176883
-0.0888791,0.0678707,0.179541
-0.0388108,0.0681516,0.167633
-0.0108758,0.0797511,0.186088
0.0228065,0.0745635,0.170988
0.0685118,0.0881258,0.180242
-0.062082,0.0927232,0.178076
-0.0440203,-0.101845,0.193115
-0.0112074,-0.110444,0.208371
0.0177803,-0.109329,0.187925
0.0479552,-0.098335,0.20288
-0.0173744,-0.0766542,0.199673
0.0751227,-0.0815868,0.187634
-0.091957,-0.0634209,0.196363
-0.0490582,-0.060946,0.189455
0.0480339,-0.0630224,0.207998
0.0954024,-0.0568902,0.203929
-0.10537,-0.0322233,0.18667
0.00285317,-0.0236215,0.199936
0.031499,-0.0398398,0.186857
0.107744,-0.0280338,0.18744
0.0710953,-0.0126375,0.193245
-0.0786872,0.00476516,0.191996
0.0136461,0.0148273,0.205749
0.111239,0.00354584,0.203091
-0.0385449,0.0281678,0.196206
0.0717196,0.0370677,0.20257
-0.0494521,0.0618421,0.200816
0.0157253,0.0488004,0.196045
0.0484236,0.0617101,0.192382
0.0918207,0.0639064,0.191304
-0.033182,0.106342,0.193219
0.00823088,0.110862,0.190614
0.0419136,0.103063,0.197975
-0.0360535,-0.0927831,0.226429
0.020951,-0.108869,0.223159
-0.0699845,-0.0864403,0.211933
0.0755275,-0.0796986,0.222858
-0.0511275,-0.0607311,0.227316
0.0114006,-0.0572128,0.210927
-0.107009,-0.0330113,0.22202
-0.0716832,-0.0330123,0.219279
-0.0295784,-0.0347799,0.216566
0.0698707,-0.0372553,0.218692
0.107267,-0.0273158,0.22249
-0.0492872,-0.00602496,0.210284
0.0416102,-0.0123593,0.212884
-0.111747,0.00300219,0.215438
-0.0787105,0.00223013,0.228205
-0.0161426,4.23952e-05,0.22124
0.0450524,0.0220784,0.220411
0.0806954,0.00788656,0.220427
-0.104857,0.037912,0.215725
-0.0698943,0.0329226,0.212852
0.106448,0.0352692,0.218055
-0.0136574,0.044546,0.215375
0.049003,0.0607461,0.227793
-0.0852161,0.0673832,0.214675
-0.0246295,0.0778637,0.220362
