x,y,z
-0.00289484,-0.0957304,0.0966583
-0.0756531,-0.0565506,0.106494
0.0614866,-0.0731936,0.09659
-0.0150341,-0.0298572,0.0966108
0.0934457,-0.01384,0.0966206
0.0173,0.0290067,0.0965413
-0.0825698,0.0469609,0.100247
0.0801898,0.0519758,0.0963748
-0.0317931,0.090378,0.0975109
0.0293647,0.0885812,0.124747
-0.0374184,-0.0875028,0.153384
0.0319205,-0.0905354,0.153463
0.083044,-0.0456873,0.154153
-0.0957577,-0.00338198,0.144428
-0.0331994,-0.0206636,0.159964
0.031344,-0.00318753,0.158994
0.0924185,0.0240618,0.158547
-0.0237592,0.0441884,0.146739
-0.0728626,-0.0595636,0.203745
-0.0013385,-0.0604352,0.202843
0.0641255,-0.0702745,0.213149
0.0944589,-0.0106403,0.216248
-0.000589269,0.0329307,0.209129
-0.0790669,0.0544699,0.182733
0.0575934,0.075645,0.183855
-0.00673527,0.0953647,0.186122
-0.0171235,-0.0939145,0.257886
-0.0357006,-0.00563777,0.250774
0.033173,-0.0183528,0.242047
-0.0955865,0.00250803,0.221572
-0.0461293,0.0761731,0.236694
0.0811011,0.050249,0.241109
0.0285828,0.0917457,0.242768
-0.0736228,-0.061177,0.271072
0.0461979,-0.0833811,0.276204
-0.0960256,-0.00125971,0.290156
-0.0002274,-0.0396391,0.297319
0.0895318,-0.0335951,0.286402
0.011491,0.0345566,0.276975
-0.0735532,0.0612906,0.297146
-0.0153283,0.0940528,0.293314
-0.0328274,-0.089747,0.328293
-0.0828414,-0.0450738,0.338873
0.0684696,-0.0658736,0.34113
-0.0334966,0.0140027,0.322187
0.0334314,0.0140145,0.336829
0.0914841,0.0304537,0.305411
0.0489491,0.0820277,0.307413
0.0168015,-0.0937793,0.373428
-0.012139,-0.0344168,0.363105
0.0952007,-0.00762635,0.361256
-0.0930869,0.0212326,0.353379
-0.0572963,0.0773941,0.360038
0.0772391,0.0569598,0.365152
0.00730741,0.094681,0.358242
-0.0552304,-0.0783506,0.390342
0.0344436,-0.00540389,0.401526
-0.0226404,0.0270546,0.3873
0.0934469,0.0170536,0.424049
-0.0768882,0.050754,0.422242
0.0417182,0.079507,0.417913
-0.0247861,0.0926873,0.416966
0.00436573,-0.0955052,0.439108
-0.057432,-0.0769679,0.457314
0.0673736,-0.0664429,0.427612
-0.092358,-0.0184976,0.433975
-0.0222481,-0.0259825,0.431651
0.0352782,-0.0216844,0.467156
0.0029766,0.0345386,0.448677
0.0460449,-0.0837993,0.490121
-0.0875006,-0.0370822,0.502037
0.0958424,-0.0025014,0.488785
-0.0915303,0.0287799,0.48917
-0.0305965,0.00226997,0.497716
-0.0508104,0.0806072,0.477589
0.0730652,0.0595406,0.477491
