x,y,z
-0.0189269,-0.109536,0.0787787
0.0156927,-0.110567,0.07972
0.0475778,-0.10036,0.0814543
-0.0776488,-0.0801397,0.0790215
-0.0422845,-0.0823849,0.0811786
0.0752053,-0.080989,0.0787756
-0.0974589,-0.0490562,0.0792052
0.0135558,-0.0391033,0.089277
0.0773969,-0.0459519,0.0844645
-0.0897958,-0.0164233,0.0788982
0.0450302,-0.0204175,0.087384
0.108653,-0.0250646,0.0802057
0.0765458,-0.00752159,0.0921009
0.105773,0.00934314,0.0793322
-0.110477,0.010719,0.078998
-0.0638008,0.0188917,0.0892702
-0.0913625,0.0397517,0.0794939
-0.024196,0.0366411,0.0878995
0.011458,0.0456665,0.0911412
0.100931,0.0460491,0.082036
-0.00964668,0.0723408,0.0908371
-0.0796223,0.0752281,0.0795162
0.0261157,0.0757844,0.0887703
0.0541067,0.094254,0.0890818
0.0820237,0.0758182,0.0846546
-0.0526868,0.0976878,0.0793766
-0.0186153,0.107481,0.0793547
0.0240252,0.109175,0.088613
-0.0358443,-0.104605,0.106648
-0.00241111,-0.112023,0.107716
0.0309322,-0.107254,0.110217
-0.0665375,-0.0914468,0.107833
-0.00764391,-0.0770176,0.105939
0.0233117,-0.0783019,0.0931474
0.055167,-0.0825139,0.113034
-0.0909523,-0.0671644,0.106107
-0.0630221,-0.0529599,0.0929465
-0.0294546,-0.0532961,0.0948469
0.0441467,-0.0528289,0.100839
0.0865984,-0.0714285,0.108962
-0.0948802,-0.0337518,0.108081
0.102039,-0.0417689,0.108948
-0.0638834,-0.0184883,0.100107
-0.0125632,-0.0217894,0.103077
0.0189853,-0.0112571,0.107073
-0.112424,-0.00498238,0.107842
-0.0356641,0.00225702,0.0964289
0.0483736,0.00538168,0.108787
0.105874,-0.00726587,0.109211
-0.106862,0.0288817,0.106581
-0.000556983,0.0154755,0.0991203
0.0752937,0.0289523,0.0977697
0.106744,0.0266638,0.110716
-0.0618286,0.0518282,0.0951948
-0.0942801,0.0606663,0.105344
-0.0376192,0.0703341,0.109351
0.0563143,0.0566829,0.0947564
0.0947089,0.0589677,0.112318
-0.0678305,0.0889033,0.107508
-0.0372056,0.106256,0.107434
-0.00415953,0.111595,0.109027
0.026231,-0.0756331,0.128534
-0.0418262,-0.0703408,0.121111
0.0628828,-0.0542982,0.129249
-0.0669071,-0.0487296,0.126341
-0.0169246,-0.0465206,0.127615
0.0160769,-0.0442723,0.122567
-0.0404792,-0.0208359,0.125008
0.0452195,-0.0261583,0.121639
-0.0810146,0.00802105,0.116579
-0.0196915,0.00964466,0.127415
0.0130359,0.0182339,0.131503
0.0759847,0.0143068,0.132343
-0.0696342,0.037791,0.132162
-0.0380744,0.0368265,0.119249
-0.00788437,0.0514292,0.118293
0.0368882,0.0370084,0.114754
0.0666989,0.0474407,0.127553
0.0432174,0.0717033,0.13063
-0.0830413,0.0752193,0.133334
0.00757033,0.0816437,0.119276
0.0708613,0.0866219,0.1185
0.0410434,0.103317,0.119602
-0.0514341,-0.0992504,0.136505
-0.0200099,-0.109982,0.135278
0.0133321,-0.109473,0.139338
0.0461003,-0.101821,0.14032
-0.0783933,-0.0789797,0.136609
-0.0118258,-0.0775219,0.139146
0.0743759,-0.0836593,0.141003
-0.0454678,-0.0544045,0.151703
0.0954729,-0.0562429,0.139885
-0.098613,-0.052572,0.136524
0.00502626,-0.0507978,0.154249
-0.109852,-0.0210449,0.136342
-0.078947,-0.0116527,0.145382
-0.000877067,-0.0171745,0.134276
0.0249894,-0.0235952,0.154646
0.0754651,-0.0224876,0.135545
0.108991,-0.0256107,0.137756
-0.0520614,0.00972538,0.137434
0.0503348,-0.00322908,0.146403
0.108181,0.00780597,0.139922
-0.111029,0.0133804,0.135785
0.0446975,0.0301435,0.147018
-0.101959,0.0461273,0.134415
0.0183024,0.0507537,0.139745
0.103605,0.0420505,0.1408
-0.0520339,0.0650295,0.140249
0.0864544,0.0714646,0.144794
-0.0200324,0.0759174,0.137995
0.0174306,0.0811261,0.153879
-0.0536822,0.0981786,0.135722
-0.0222071,0.10943,0.137053
0.0133702,0.110678,0.137535
-0.0390728,-0.104591,0.166568
-0.00640518,-0.112183,0.166416
0.0297898,-0.108246,0.169339
0.00866798,-0.0822541,0.165679
0.0601005,-0.0939486,0.169775
-0.0907628,-0.0672498,0.166808
-0.0217978,-0.0687145,0.170623
0.041926,-0.067915,0.158453
