x,y,z
-0.0415537,-0.107519,0.116678
-0.00485495,-0.11205,0.116885
0.027919,-0.105406,0.116735
-0.0843854,-0.0848755,0.116688
-0.0523102,-0.0760296,0.120031
-0.0194367,-0.0812551,0.116701
0.0132856,-0.0743202,0.116619
0.0506478,-0.0808405,0.11667
-0.101974,-0.05787,0.125499
0.0859433,-0.0551937,0.116717
-0.0556832,-0.0427258,0.116711
0.00141859,-0.0465015,0.130655
0.0316087,-0.0435315,0.116661
-0.119576,-0.0309112,0.116686
-0.086295,-0.0292661,0.116613
0.00594926,-0.0165762,0.116656
0.0646832,-0.0185326,0.116701
0.0980059,-0.0240462,0.116644
-0.124054,0.00218605,0.116687
-0.0604016,-0.00810984,0.116734
-0.0269578,-0.00832952,0.116692
0.0411835,0.00528384,0.116708
0.100205,0.00923907,0.116708
-0.0877931,0.0143924,0.116728
-0.0568364,0.02415,0.124806
-0.00904662,0.0198639,0.116613
0.063691,0.0300178,0.116662
-0.115554,0.0345373,0.116686
-0.0371969,0.0499339,0.116656
0.0241091,0.0340356,0.116727
0.0936745,0.0401465,0.127414
-0.103185,0.0656642,0.116701
-0.0696487,0.0593827,0.11669
-0.00350108,0.0529226,0.116647
0.0467346,0.058679,0.116703
0.0787896,0.0679176,0.116656
-0.0817016,0.0876163,0.129917
-0.0232726,0.0791143,0.125055
0.019183,0.07732,0.117844
-0.0534081,0.0995247,0.116715
-0.0221657,0.111412,0.116688
0.011177,0.109599,0.116691
0.0471777,0.0955763,0.116715
-0.0437159,-0.108036,0.149969
0.0480823,-0.0951809,0.148971
-0.073668,-0.093611,0.147095
-0.000588989,-0.0888114,0.143228
0.0726611,-0.0740989,0.14083
-0.0727719,-0.0606263,0.141531
-0.0305271,-0.0553354,0.134707
0.0339589,-0.0658519,0.141368
0.0588555,-0.0437968,0.137806
0.093763,-0.0400071,0.145489
-0.0678073,-0.0276384,0.144122
-0.0201046,-0.0251781,0.144676
0.0341775,-0.0187149,0.138851
-0.100512,-0.00797868,0.138104
-0.0740269,0.00903164,0.149239
-0.0147793,0.00703935,0.152736
0.0146236,0.00834413,0.136935
0.0436553,0.0100221,0.153057
0.0729692,0.00605277,0.137735
0.100749,-0.00757328,0.149728
-0.12149,0.0188149,0.145516
-0.110841,0.0507582,0.145618
-0.0787209,0.0416876,0.143565
-0.0191271,0.0385151,0.142303
0.0132155,0.0387218,0.150761
0.0573194,0.040027,0.147941
-0.0499182,0.0664904,0.142686
0.00160893,0.0695336,0.145169
0.0346008,0.0645521,0.147336
0.0843294,0.0585707,0.154208
0.0630078,0.0815674,0.142605
-0.038935,0.108796,0.145411
-0.00534642,0.112153,0.145647
0.0244983,0.0967665,0.144531
-0.0131921,-0.113035,0.162394
0.0198623,-0.108218,0.161118
-0.0871308,-0.0823025,0.175499
-0.0465268,-0.0753313,0.15614
-0.0172671,-0.0813076,0.171206
-0.10895,-0.0544023,0.158001
0.00682255,-0.0609661,0.160242
0.0510998,-0.0689979,0.169693
0.0833999,-0.0606777,0.169432
-0.0737273,-0.0517574,0.173762
-0.0435527,-0.0410443,0.162491
0.0372925,-0.038932,0.165244
-0.0933503,-0.0258091,0.165472
0.00931239,-0.0208298,0.162214
0.070317,-0.0200628,0.158402
-0.122849,-0.0103694,0.162834
-0.0451752,-0.00634916,0.15625
-0.107296,0.0315577,0.172742
-0.0468696,0.027014,0.156608
0.0134465,0.0114703,0.17012
0.0700228,0.0155636,0.172984
0.0976685,0.0263287,0.157473
-0.074031,0.0321583,0.175278
0.0368377,0.035024,0.174064
-0.0642993,0.0668804,0.172763
-0.014942,0.0526805,0.172134
-0.0933853,0.0759774,0.159007
-0.0257341,0.0818207,0.159944
0.00454253,0.0822939,0.175853
-0.0672566,0.0969399,0.158605
0.0476039,0.0954912,0.168635
-0.0590519,-0.100194,0.17865
-0.0285138,-0.105665,0.19116
0.00451218,-0.110638,0.190693
0.0425052,-0.0980936,0.183516
0.010818,-0.0776677,0.188959
0.070386,-0.0764404,0.195875
-0.102714,-0.0569934,0.190734
-0.0478575,-0.067036,0.188473
-0.0189592,-0.0502329,0.182892
0.0133946,-0.0438065,0.188105
0.0624393,-0.0427698,0.187872
-0.0633122,-0.0207242,0.180374
-0.0215218,-0.017391,0.17711
0.0751814,-0.0131343,0.19642
0.0975385,-0.0275878,0.176248
-0.123203,0.00824738,0.190601
-0.0874026,0.00236755,0.182487
-0.0509574,0.00998895,0.185072
0.0464829,-0.0101254,0.179472
0.100835,0.00500268,0.1829
-0.0194408,0.0210477,0.182744
-0.0441828,0.0435044,0.185532
0.0606402,0.0466449,0.194321
0.0927568,0.0421417,0.186529
-0.10428,0.0615736,0.187175
0.0342529,0.0675719,0.181214
-0.0749602,0.0929194,0.190876
-0.0374921,0.075863,0.190666
0.0716748,0.0750062,0.180445
-0.0428803,0.10805,0.178605
-0.00972243,0.112893,0.178791
0.0227985,0.107794,0.187266
-0.0547244,-0.103309,0.211671
0.0286657,-0.105179,0.213102
-0.0825838,-0.0850789,0.208523
-0.0197368,-0.0761103,0.204128
-0.0717837,-0.0530112,0.207192
0.038649,-0.0628261,0.200028
-0.0430848,-0.0367058,0.201692
-0.0107551,-0.0322838,0.20969
0.0919189,-0.0439362,0.204695
-0.121606,-0.0184949,0.210566
-0.0912335,-0.0266248,0.19875
-0.0636717,-0.0120115,0.212675
0.0377923,-0.0291045,0.205474
-0.0312975,-0.00588739,0.206945
0.000996126,-0.00341431,0.197329
0.101328,-0.00377567,0.215083
-0.0954884,0.0270381,0.203548
-0.0557595,0.0280271,0.212807
0.00052616,0.0280009,0.208666
0.0306502,0.0120149,0.198707
0.0750028,0.0188238,0.205928
-0.027126,0.0458981,0.214109
0.0291368,0.044725,0.205088
-0.0746558,0.0530833,0.201289
-0.000183997,0.0606647,0.200878
0.0787409,0.0680108,0.212453
-0.0953692,0.0741531,0.216856
0.0503163,0.0940787,0.201851
-0.0356434,0.109388,0.211192
-0.00176051,0.0952388,0.206034
-0.0103875,-0.105776,0.220419
-0.00223591,-0.074629,0.232533
0.0567208,-0.0901352,0.223162
-0.0864673,-0.0652444,0.235176
-0.0480411,-0.0720847,0.221533
0.047866,-0.0591345,0.231928
