x,y,z
-0.0588001,-0.102373,0.11958
-0.0201135,-0.10984,0.119563
-0.0929326,-0.0828129,0.119604
0.0183425,-0.0991187,0.119589
-0.117384,-0.0520724,0.119583
-0.0263535,-0.070973,0.119673
0.0408655,-0.066379,0.119605
-0.0776569,-0.0465459,0.119668
-0.0405337,-0.0333649,0.119707
0.00587427,-0.048388,0.119655
0.0439244,-0.0271886,0.119672
0.0833532,-0.0281038,0.119663
-0.128723,-0.0139845,0.119488
-0.000969799,-0.00967886,0.119654
-0.0754291,0.0128028,0.119645
-0.0365511,0.00705704,0.119636
0.0327484,0.010521,0.119677
0.0720973,0.00995914,0.119678
-0.127613,0.0253298,0.119513
-0.0352097,0.0463555,0.119676
0.033288,0.0498224,0.119655
0.0728492,0.0493427,0.119665
-0.111865,0.0630974,0.119603
-0.0740172,0.0526322,0.119675
-0.00195245,0.06735,0.119682
-0.0831298,0.0908951,0.119589
0.0442803,0.087569,0.119607
-0.0464485,0.104979,0.119594
0.0084665,0.105285,0.119685
0.0405342,-0.0903369,0.150699
-0.0476348,-0.0678029,0.152589
0.0710237,-0.057191,0.143115
-0.0622541,-0.03131,0.152503
0.0341815,-0.0462515,0.152698
-0.0953595,-0.0141369,0.140231
0.086706,-0.0064649,0.152337
-0.0558667,0.0420467,0.152898
-0.00151527,0.0285306,0.12949
0.0435658,0.0301469,0.152117
-0.0584451,0.0810387,0.148439
-0.0194499,0.109753,0.147493
-0.0395476,-0.106305,0.153432
-0.000319424,-0.106734,0.15329
-0.0768769,-0.0940909,0.153558
-0.107006,-0.0688585,0.153548
-0.00150578,-0.0674597,0.153226
-0.126724,-0.0339877,0.153134
-0.0248144,-0.0373048,0.162857
0.081051,-0.037562,0.175792
0.010088,-0.0209107,0.170676
0.0474705,-0.008939,0.154331
-0.131243,0.00570366,0.153195
-0.0894893,0.0217614,0.155232
-0.0548851,0.00492414,0.165843
-0.0177445,0.000969754,0.15354
0.0123224,0.0182904,0.172886
-0.121344,0.044662,0.153009
-0.0225582,0.0364473,0.172999
0.0828013,0.0326563,0.153879
-0.0209018,0.0709952,0.154218
0.0163877,0.0585622,0.154074
0.0642444,0.0673702,0.153556
-0.0981897,0.0776578,0.153368
0.0348123,0.0932034,0.157228
-0.0463192,0.106352,0.175983
-0.0589889,-0.103252,0.187242
-0.0200017,-0.109888,0.187173
0.0215656,-0.0971523,0.184361
-0.117731,-0.0515214,0.187
-0.0857949,-0.0744723,0.186977
-0.0251755,-0.0709527,0.184747
0.0175395,-0.0580656,0.186348
0.0604837,-0.0710146,0.178417
-0.0839715,-0.0315755,0.18531
-0.0468216,-0.0393675,0.195421
0.0444644,-0.0294242,0.187805
-0.129889,-0.0141819,0.186876
-0.0946356,0.00582235,0.190806
-0.0213166,0.00233435,0.192584
0.047218,0.00976472,0.188963
0.0864056,0.0119061,0.187126
-0.128163,0.025672,0.186716
-0.0745201,0.0394579,0.18747
0.0352954,0.047138,0.186614
-0.112301,0.062501,0.186686
-0.0368231,0.0683988,0.191022
0.00241111,0.068414,0.189534
0.0744055,0.0507322,0.187819
