x,y,z
-0.0270599,-0.104699,0.11955
0.0206419,-0.0829037,0.119642
-0.0616906,-0.0570744,0.119662
0.0528513,-0.0603365,0.119588
-0.0230718,-0.0420081,0.119659
0.0891534,-0.034816,0.119683
-0.108703,-0.0089971,0.119656
-0.0699244,-0.0163644,0.119683
-0.0324208,-0.00378011,0.119678
0.00536341,-0.0148263,0.119669
0.0519596,-0.0210415,0.119635
-0.0601024,0.0241999,0.119653
0.0327388,0.013467,0.119683
0.072102,0.0127688,0.119676
0.109676,0.00103442,0.119646
-0.104594,0.0333444,0.119683
-0.00700273,0.0263854,0.119683
0.101889,0.0395979,0.119668
-0.0821504,0.0676871,0.119683
-0.0395133,0.0577086,0.119456
0.00308321,0.0658225,0.119675
0.0438587,0.0585613,0.119683
0.0803026,0.0734539,0.119682
-0.0530644,0.0949412,0.119683
-0.0150146,0.105274,0.11967
0.0238914,0.0992443,0.119683
-0.0593913,-0.0917856,0.138036
-0.0128642,-0.0741968,0.139831
0.0534026,-0.0948839,0.138399
0.0840091,-0.0699024,0.141508
-0.0985574,-0.0460965,0.127875
0.0208047,-0.0488898,0.13943
-0.0860481,0.00995087,0.145514
0.0196227,0.0406179,0.144994
0.07121,0.0437675,0.143889
0.0555054,0.0938034,0.142505
-0.0288734,-0.10564,0.158643
0.00832219,-0.108835,0.146477
-0.0806914,-0.0649608,0.157443
-0.105078,-0.0321462,0.164088
-0.0465724,-0.0388117,0.151063
-0.00888207,-0.0280784,0.154743
0.0564205,-0.045947,0.155945
0.0294806,-0.0121508,0.150597
0.0693528,-0.00891709,0.15273
0.106899,-0.0206191,0.152295
-0.0448763,9.41242e-05,0.156811
-0.00157257,0.0102822,0.159604
-0.104068,0.0354181,0.169519
-0.0299832,0.0360261,0.150734
-0.0592306,0.0644413,0.152693
-0.0210186,0.0743852,0.149584
0.0132045,0.0742451,0.168776
0.00461218,0.109424,0.153512
5.10525e-05,-0.110137,0.184964
-0.0717281,-0.0803136,0.192564
0.0339159,-0.0943416,0.17258
0.0712759,-0.0826117,0.17645
-0.0341111,-0.0693212,0.172587
0.00679786,-0.0658131,0.172801
0.0959575,-0.0514081,0.174094
-0.0590361,-0.0432499,0.188122
-0.00860373,-0.0359474,0.193314
0.0294809,-0.0351999,0.182512
0.0676988,-0.0286262,0.189301
-0.0764117,-0.00933433,0.178416
0.107228,-0.0187233,0.192917
0.0335316,0.00811247,0.183984
0.0696059,0.0220567,0.176904
0.107898,0.0139608,0.170991
-0.0650781,0.0304531,0.171615
-0.0294328,0.0271294,0.188958
0.00821621,0.0387327,0.184961
-0.025349,0.0707665,0.188377
0.0461938,0.0533712,0.172633
0.096699,0.0500615,0.181835
-0.0705657,0.083491,0.185081
0.072634,0.0811833,0.181318
-0.0336871,0.104914,0.17078
-0.000230208,0.109858,0.192538
0.0394279,0.102071,0.178022
-0.0391642,-0.102092,0.196271
0.0328788,-0.104959,0.210428
-0.096477,-0.0502008,0.197992
-0.0326987,-0.0615006,0.211103
