x,y,z
0.0112913,-0.277474,0.0310989
0.0729434,-0.267031,0.0311795
-0.170888,-0.2167,0.0311585
-0.10832,-0.227254,0.0312388
-0.0399669,-0.242534,0.0310707
0.132126,-0.243109,0.0310279
-0.0627,-0.184604,0.031508
-0.000798321,-0.17895,0.0312493
0.07777,-0.204881,0.0312348
0.185951,-0.202498,0.0313936
-0.235253,-0.140087,0.0313012
-0.121783,-0.165778,0.031301
0.131148,-0.173035,0.0311528
0.226035,-0.154155,0.0311979
-0.173656,-0.131807,0.0310459
-0.10013,-0.106795,0.0312521
-0.0403782,-0.124303,0.0315848
0.0218571,-0.121281,0.0311412
0.084648,-0.131288,0.0312006
0.170824,-0.125416,0.0309552
-0.213678,-0.0817696,0.0316902
-0.152119,-0.0726076,0.0315331
-0.0291959,-0.062854,0.0311698
0.0601239,-0.0724851,0.0312374
0.122454,-0.0815136,0.0311848
0.182326,-0.0643796,0.0313177
0.247884,-0.0792294,0.0310872
-0.266241,-0.0483287,0.0313033
-0.207281,-0.0199957,0.0311307
-0.0870966,-0.0394055,0.0311248
0.0207279,-0.0235935,0.0313565
-0.267724,0.0143469,0.031101
-0.143238,-0.0110219,0.031256
0.0825813,-0.0146696,0.0310593
0.144978,-0.0143595,0.0317499
0.269539,-0.0114191,0.0310598
-0.211279,0.0419444,0.0311597
-0.148512,0.0509819,0.0311204
-0.0911933,0.0235207,0.0311461
-0.0184199,0.0252258,0.0312293
0.0446438,0.0355843,0.0310338
0.106973,0.0426054,0.0312368
0.169678,0.0430083,0.0311008
0.238726,0.045701,0.0312084
-0.250619,0.09013,0.0311184
-0.0559642,0.075579,0.0311706
0.00587128,0.0845441,0.0314106
0.0697432,0.0927663,0.0312345
-0.187495,0.0995861,0.0311427
-0.0795172,0.133387,0.0312533
0.186362,0.134681,0.0310153
0.242492,0.107596,0.0312161
-0.212443,0.156675,0.0311154
-0.142132,0.143215,0.0314674
-0.0175428,0.142818,0.0312801
0.0999689,0.147416,0.0315497
-0.167272,0.200502,0.0312556
-0.0647897,0.19387,0.0310907
0.0607316,0.195984,0.031199
0.150076,0.185948,0.031152
-0.0398677,0.253752,0.031315
0.110385,0.23424,0.0312095
0.0472882,0.257284,0.0314963
0.0270994,-0.225481,0.0610202
-0.20627,-0.181137,0.0681955
0.047498,-0.164801,0.0684868
0.207264,-0.00767942,0.0325042
-0.116789,0.0944951,0.0624286
0.136996,0.0970481,0.0319378
0.0406898,0.14232,0.0559568
-0.00210448,0.203839,0.0321823
-0.113668,0.232722,0.0322126
-0.0800838,-0.264877,0.0734146
-0.019241,-0.2736,0.0854601
0.043634,-0.274367,0.0956114
0.103151,-0.256019,0.0848077
-0.142327,-0.236682,0.082743
0.159226,-0.224889,0.0837679
-0.0911185,-0.200934,0.0854242
-0.0291949,-0.208457,0.0821508
0.106488,-0.191431,0.0851243
-0.147055,-0.173201,0.0878638
-0.0780519,-0.140147,0.0792276
-0.0102923,-0.147452,0.0846973
0.187697,-0.16494,0.0815562
-0.206058,-0.117626,0.0822263
-0.142365,-0.111183,0.0819183
0.13338,-0.134123,0.0798627
0.184946,-0.0996348,0.0859779
0.24508,-0.1185,0.0791871
-0.2125,-0.0593392,0.10346
-0.0962121,-0.0680637,0.0856715
-0.0397064,-0.0930826,0.0947023
0.0275286,-0.0964825,0.0881581
0.0893878,-0.0886803,0.0835658
-0.00588,-0.0415081,0.0848996
0.0560152,-0.0346255,0.0836024
0.143551,-0.0514721,0.0819534
0.204894,-0.0408774,0.0912383
0.266095,-0.047015,0.0817282
-0.241461,-0.00820257,0.0829308
-0.179074,-0.00965351,0.0856413
-0.115307,-0.00862672,0.0874317
-0.054362,-0.00428997,0.0730434
0.0196972,0.0162524,0.0844245
0.112994,0.00476827,0.0820836
0.174807,0.0135288,0.085746
0.23991,0.010154,0.0827372
-0.261683,0.0529938,0.0797167
-0.14645,0.045051,0.093086
-0.0841499,0.0483052,0.0882376
0.0740685,0.0537528,0.0830615
-0.202408,0.0715109,0.0854186
-0.0235708,0.0624214,0.0827197
0.13579,0.0628203,0.08417
0.194123,0.0818971,0.0732283
0.257149,0.0699703,0.0870458
-0.234014,0.124929,0.0800182
-0.167256,0.122881,0.0851315
-0.0651067,0.109047,0.0949786
-0.00379755,0.120516,0.0938756
0.0879315,0.114536,0.0869535
