x,y,z
-0.139063,-0.211119,0.05484
-0.033889,-0.243928,0.0546459
0.0748233,-0.229117,0.0551053
0.165671,-0.167337,0.0550049
-0.0695641,-0.126742,0.0532606
0.0301019,-0.0759419,0.0543026
-0.255747,-0.0393864,0.0539118
-0.146753,-0.0493469,0.0542191
0.133941,-0.039451,0.052989
-0.140588,0.0681179,0.0545343
-0.0490639,7.30035e-05,0.0550059
0.0545816,0.036841,0.0550282
0.232064,0.00967199,0.0546722
-0.0387242,0.109334,0.0541952
0.159274,0.0915012,0.0538914
-0.197171,0.162655,0.0533975
0.0643684,0.14654,0.0537369
-0.100762,0.229543,0.0544699
0.00856061,0.24351,0.0551199
-0.000857302,-0.144588,0.133277
-0.21565,-0.137531,0.0839241
0.102394,-0.107561,0.130063
0.217481,-0.0852784,0.106466
-0.248385,0.0680426,0.0770751
0.127392,0.027154,0.137002
-0.111362,0.147799,0.125515
0.0980858,0.219153,0.126051
-0.0875299,-0.233577,0.149111
0.0192211,-0.243598,0.173794
0.121787,-0.205878,0.17219
-0.124334,-0.125452,0.147267
-0.251629,-0.0579285,0.160007
-0.0458751,-0.0516943,0.169861
-0.255006,0.045246,0.19614
-0.166833,0.00951521,0.14263
-0.0614119,0.0544426,0.149871
0.0318804,0.0211498,0.196719
0.231595,0.0151689,0.167659
0.0911002,0.113186,0.190081
-0.215802,0.138451,0.15543
0.00307254,0.154828,0.143821
0.18121,0.150472,0.141577
-0.060908,0.24141,0.155986
-0.134153,-0.214549,0.245528
-0.031752,-0.244131,0.270732
0.0773547,-0.229426,0.270996
-0.210948,-0.145608,0.21107
-0.0535191,-0.143351,0.229283
0.167226,-0.166715,0.26253
0.0558801,-0.135549,0.224359
0.218397,-0.0831051,0.215335
-0.25102,-0.0603815,0.268118
-0.149012,-0.055564,0.228117
0.00250453,-0.0547568,0.273602
0.116468,-0.0444714,0.218921
-0.134886,0.0562045,0.235253
0.123888,0.0503126,0.273399
0.232294,0.00586838,0.277177
-0.216595,0.136863,0.262699
0.209709,0.104415,0.235132
-0.148564,0.204951,0.210176
-0.063587,0.139088,0.229622
0.0345931,0.142319,0.277581
0.142348,0.190854,0.24502
-0.0523974,0.242469,0.265657
0.046299,0.237659,0.218915
-0.0303067,-0.150171,0.335238
-0.145027,-0.127671,0.310436
0.1033,-0.0957646,0.314611
0.214804,-0.0908034,0.325326
-0.0940142,-0.0308741,0.319048
-0.255109,0.0441946,0.30473
-0.14451,0.0631864,0.343585
-0.0293355,0.0498332,0.283306
0.0530226,0.0112786,0.344856
0.213123,0.0910046,0.342643
-0.0563567,0.139194,0.339621
-0.1425,0.20869,0.3179
0.0406537,0.239656,0.327424
-0.106569,-0.227075,0.349977
0.0247602,-0.242813,0.364608
0.0493247,-0.146058,0.409127
0.130918,-0.198563,0.360098
-0.218756,-0.134191,0.391369
-0.1204,-0.0869874,0.408873
-0.198679,-0.0317555,0.357815
-0.0156496,-0.0590163,0.393791
0.112391,-0.0574696,0.414822
0.232387,-0.00516982,0.392081
-0.253089,0.0527055,0.412637
-0.0521523,0.0446295,0.399181
0.138418,0.0485956,0.409163
0.0600934,0.118958,0.38037
-0.212475,0.143792,0.37029
0.136126,0.194316,0.353658
-0.0558174,0.242257,0.375182
-0.0501998,-0.243604,0.442503
0.115317,-0.210355,0.467049
-0.150532,-0.199195,0.44614
-0.0435743,-0.137995,0.46612
0.192388,-0.133754,0.423269
-0.25366,-0.0495238,0.450842
-0.156353,0.0146823,0.44611
0.0388594,0.0154038,0.452041
0.225623,0.0545782,0.485067
-0.109564,0.112048,0.463871
-0.214272,0.14027,0.478847
-0.00473769,0.143674,0.464013
0.186888,0.143223,0.434467
-0.144839,0.208029,0.426873
-0.0535724,0.24262,0.482933
0.0537203,0.234492,0.43655
-0.101145,-0.230028,0.538302
0.0256919,-0.242428,0.519475
-0.172278,-0.103535,0.503279
0.0459596,-0.0833391,0.498272
0.146092,-0.121671,0.521208
-0.0814438,-0.0411762,0.500501
0.132774,-0.00132138,0.504908
0.22687,-0.0540771,0.490398
-0.254741,0.0474924,0.519839
-0.14925,0.0548791,0.548556
-0.0355956,0.0551384,0.520847
0.0893208,0.099418,0.499582
-0.146684,0.205965,0.534608
0.134932,0.19732,0.511458
0.0322398,0.210424,0.541783
-0.0230942,-0.245446,0.615661
0.1139,-0.21083,0.576348
-0.209603,-0.147352,0.595976
0.0223698,-0.151667,0.581169
-0.0839651,-0.128219,0.566571
0.217591,-0.0849803,0.595045
-0.252739,-0.0538477,0.559655
-0.149005,-0.0449299,0.594309
-0.0118065,-0.048391,0.583166
0.0976401,-0.055105,0.591358
-0.0710543,0.033403,0.622307
0.119986,0.0563588,0.595567
0.230512,0.0239523,0.593882
-0.219778,0.130479,0.587573
-0.0810195,0.134161,0.582083
0.0259846,0.111749,0.589823
0.198938,0.124953,0.564724
0.113221,0.172699,0.613285
-0.0602844,0.241552,0.590708
-0.135898,-0.213003,0.640373
0.0576676,-0.198585,0.673545
0.170175,-0.162798,0.656812
-0.0739746,-0.106863,0.671548
0.0342494,-0.0906207,0.671984
-0.232846,-0.0661194,0.665536
0.13759,-0.00925026,0.679888
-0.256185,0.0332976,0.626526
-0.162828,0.0209171,0.680861
0.0333682,0.0181952,0.65552
-0.106335,0.114411,0.686816
0.0932274,0.100511,0.691986
0.198529,0.125083,0.674797
