x,y,z
-0.0782029,-0.23214,0.0549889
0.0378647,-0.242494,0.0549159
0.139934,-0.200835,0.0549872
-0.00138244,-0.139661,0.054999
-0.151617,-0.117267,0.0549959
0.100597,-0.0979392,0.0550602
0.217017,-0.104103,0.0549151
-0.240637,-0.0465783,0.0549345
0.13569,0.00553976,0.0688164
-0.234155,0.0720572,0.0550066
-0.14431,0.00831875,0.0550448
0.00387796,0.0266586,0.055092
0.244082,0.0190602,0.0549942
-0.0890312,0.103646,0.055045
0.0889871,0.104351,0.0550183
0.208944,0.128315,0.0550739
-0.178912,0.167328,0.0550047
0.129807,0.20671,0.0550329
-0.0849518,0.229702,0.0550891
0.0257171,0.243464,0.054999
-0.147081,-0.195813,0.132548
-0.218755,-0.110327,0.141891
-0.0660605,-0.0591714,0.0929665
0.241402,-0.0448611,0.144485
-0.0642524,0.0397452,0.141297
-0.163851,0.0951203,0.136876
-0.000175067,0.14774,0.102944
-0.0206142,-0.243929,0.148097
0.0911722,-0.227373,0.150058
-0.0567791,-0.141416,0.165584
0.187081,-0.159108,0.145362
0.0517788,-0.12451,0.150199
-0.145219,-0.0312371,0.165512
-0.0430018,-0.0423421,0.211666
0.0445154,-0.0059194,0.152099
0.137366,-0.0606276,0.177119
-0.244555,0.0131347,0.147233
0.123242,0.0730858,0.154943
-0.0609989,0.136317,0.194162
0.0488774,0.139758,0.20127
0.233161,0.0757414,0.148825
-0.135727,0.203803,0.149447
0.173626,0.171877,0.149935
-0.0298364,0.243053,0.150041
0.0802192,0.231968,0.150045
-0.0933295,-0.226584,0.228822
0.0347537,-0.242681,0.243256
-0.183116,-0.163016,0.231411
0.0468274,-0.134412,0.259749
0.146016,-0.196433,0.240521
-0.0635691,-0.130968,0.2751
0.221305,-0.104627,0.23477
-0.238907,-0.0540275,0.234328
-0.136628,-0.0476594,0.274949
-0.123977,0.0542239,0.232943
0.0159703,0.0445314,0.245876
0.138768,0.0361228,0.257469
0.244654,0.0125889,0.238398
-0.232666,0.077202,0.235936
0.210059,0.126787,0.24373
-0.175419,0.170609,0.246743
0.130652,0.207264,0.244987
-0.0833949,0.231101,0.245662
0.026043,0.243328,0.245163
-0.139955,-0.200828,0.325253
-0.0379572,-0.242378,0.325956
0.0951277,-0.22582,0.33368
0.192283,-0.151811,0.330094
-0.216664,-0.114217,0.32427
0.13132,-0.0694764,0.287795
0.000914069,-0.0521196,0.316833
0.239831,-0.0502069,0.328771
-0.244809,0.010843,0.323123
-0.0748392,0.0272412,0.327728
0.235104,0.0677673,0.333334
-0.163655,0.093842,0.327909
-0.0624016,0.134239,0.304266
0.0886146,0.123252,0.302584
-0.139128,0.201414,0.3461
0.182073,0.164107,0.344231
-0.0300557,0.242989,0.341284
0.080315,0.230682,0.340164
-0.0120532,-0.14599,0.373321
-0.113479,-0.103085,0.369449
0.0958946,-0.124347,0.376509
-0.179768,-0.0228352,0.405171
0.150721,0.00452692,0.368787
-0.233598,0.0742641,0.412511
0.0355001,0.0441346,0.357899
0.115107,0.102286,0.407427
0.0155502,0.150222,0.380447
-0.131822,-0.206402,0.434921
-0.0280229,-0.243323,0.435631
0.0817703,-0.231521,0.442803
0.0171719,-0.15008,0.479774
0.175055,-0.170938,0.437297
-0.209597,-0.126816,0.433379
-0.0918474,-0.110772,0.477234
0.119251,-0.0847942,0.477752
0.232773,-0.0770668,0.435351
-0.0734339,-0.0118121,0.432144
0.0297954,-0.0496939,0.423691
0.0378798,0.0508226,0.468232
0.143605,0.0224163,0.484261
0.242922,0.0325941,0.437477
-0.0907046,0.0982736,0.421068
0.205606,0.133125,0.463725
-0.178647,0.164985,0.442283
-0.0156018,0.145464,0.486008
0.12964,0.207983,0.435898
-0.0843513,0.227557,0.438042
0.0253558,0.243526,0.438211
-0.0824983,-0.230474,0.530514
0.0277547,-0.243404,0.538138
0.133608,-0.205233,0.536318
-0.175931,-0.16999,0.529141
0.210263,-0.126051,0.532143
-0.238725,-0.041051,0.496416
-0.011725,-0.050397,0.526515
0.243502,-0.0209767,0.533726
-0.161045,0.0384163,0.494535
-0.0578546,0.0527359,0.528246
-0.211356,0.124691,0.541379
0.106917,0.12191,0.516841
-0.112982,0.173414,0.530183
-0.0269031,0.2432,0.535376
0.0834459,0.230148,0.534074
-0.0145837,-0.167894,0.611452
-0.225226,-0.0960274,0.59441
-0.10517,-0.10732,0.589631
0.0740851,-0.111202,0.575928
-0.0463777,-0.00224959,0.624966
0.144224,-0.0250653,0.589308
-0.239801,0.0263845,0.583717
-0.138016,0.0670103,0.603263
0.0473129,0.02828,0.576688
0.241053,0.041993,0.624556
0.0274322,0.142406,0.590296
0.203268,0.135526,0.576073
-0.0909128,0.226218,0.624397
-0.113094,-0.213649,0.636259
-0.0134982,-0.242836,0.693023
0.0819015,-0.230057,0.633833
-0.174618,-0.136322,0.686031
0.176626,-0.168553,0.630978
-0.0505667,-0.0940606,0.689426
0.105163,-0.0789137,0.678847
0.232277,-0.0725602,0.641582
-0.159047,-0.0310189,0.657957
-0.2411,0.0443825,0.692695
0.0484633,0.0217631,0.686946
-0.0555143,0.122329,0.660629
0.130978,0.0777467,0.640787
-0.187935,0.157063,0.647667
0.134524,0.200919,0.635233
0.0203507,0.243235,0.63578
0.0361466,-0.148681,0.729838
0.136645,-0.192616,0.741191
0.204331,-0.106724,0.757682
-0.174981,-0.0474741,0.765487
-0.0266861,-0.0142536,0.763297
0.231038,-0.000195692,0.737553
-0.129604,0.0584512,0.728106
0.21423,0.118824,0.701076
0.0471596,0.145173,0.70192
0.144264,0.192778,0.745249
-0.0649603,0.226244,0.740047
-0.0619736,-0.224985,0.819552
0.0486419,-0.239806,0.799058
-0.0789272,-0.108981,0.795957
0.0841442,-0.0593875,0.788967
-0.243615,0.0271625,0.820698
0.0618266,0.0729953,0.79091
-0.0682831,0.128575,0.797696
0.170442,0.0872357,0.79831
0.0354378,0.242291,0.828562
0.0378396,0.0062081,0.891702
0.201001,-0.00595208,0.847024
-0.0717,0.0602932,0.902707
0.0119336,0.133444,0.890921
-0.179419,0.150635,0.901651
-0.0862983,0.218412,0.858521
-0.0530994,-0.159788,0.937889
0.116351,-0.186727,0.906116
0.213242,0.100513,0.960607
-0.0616594,-0.144136,1.03436
0.0444162,0.138567,1.02601
0.0757097,-0.0702177,1.28509
0.0192587,-0.194996,1.37597
-0.0378635,-0.140097,1.63562
-0.209991,-0.0190986,1.71276
0.00930416,0.0112315,2.521
0.241868,0.0259803,2.5656
-0.0276961,0.175242,2.67327
0.106595,-0.0614162,3.35845
0.127852,-0.171561,3.48662
-0.0623771,-0.163498,4.15895
0.0945252,-0.0890983,5.2823
0.0428565,0.185911,5.57142
0.202325,0.00033682,5.66665
-0.178546,0.0462354,5.79327
0.136149,-0.164652,5.97355
0.0737331,-0.057043,6.00774
