x,y,z
-0.0789938,-0.00156447,0.213871
0.0771785,-0.0556787,0.606307
-0.0826367,-0.0187004,1.0
0.0714494,0.0186272,1.39338
-0.0288428,-0.101931,1.7903
-0.00122416,0.0591856,2.18911
0.0445449,-0.0957577,2.58358
-0.032093,0.0540014,2.97751
0.0797892,-0.0478188,3.37211
-0.0810474,-0.00759848,3.7663
0.0816721,-0.00948157,4.16156
-0.0470013,-0.0921026,4.56022
0.00823035,0.0582401,4.9589
0.0299469,-0.100789,5.35778
-0.0106431,0.0568178,5.7578
0.0246784,-0.103157,6.15707
0.0025189,0.0565944,6.55803
-0.0522381,-0.0787963,6.96367
0.0598754,0.0325853,7.36387
-0.0692741,0.0195832,7.77285
0.080936,-0.0417516,8.17015
-0.0533572,0.0389031,8.57059
0.00523109,-0.106731,8.97358
-0.0222987,0.0546743,9.37653
-0.0139121,-0.10535,9.78053
0.00181071,0.059544,10.1839
-0.0775976,-0.118849,10.5735
0.123127,0.119016,10.8782
-0.0881494,-0.223931,11.0179
-0.158723,0.203563,11.1998
-0.324603,-0.152642,11.3784
0.149908,-0.336112,11.3651
0.285736,0.1029,11.2859
-0.203546,-0.447575,11.6717
0.237585,-0.514976,11.7522
0.0214928,-0.0110513,11.6219
0.443014,-0.122078,11.6185
-0.409995,0.205093,11.6114
0.372657,0.316609,11.6875
-0.0342622,0.418941,11.5634
-0.0723144,-0.714523,11.9938
-0.478673,-0.533056,12.0175
-0.534761,-0.173631,11.7783
0.0422342,-0.211582,12.0073
0.579556,-0.347968,11.965
0.66069,0.0831677,11.9364
-0.624574,0.230769,12.0017
-0.019929,0.22597,11.9988
-0.319921,0.5307,11.9049
0.134827,0.625195,11.9225
