x,y,z
-0.200415,-0.332569,0.624219
0.19429,-0.337006,0.624219
-0.361235,-0.142035,0.6241
0.00104513,-0.178372,0.624494
-0.164926,0.0226191,0.622042
0.225884,-0.0699166,0.623541
-0.380836,0.0818026,0.729785
0.368943,0.116286,0.70859
-0.270875,0.277685,0.623494
-0.0442218,0.381511,0.623988
0.233253,0.30861,0.624779
-0.0406248,-0.386952,0.806029
0.194154,-0.337718,0.872622
-0.327097,-0.210677,0.860691
-0.109739,-0.0956449,0.831626
0.355951,-0.157497,0.814482
0.16683,0.0451808,0.837337
-0.0333338,0.175645,0.764032
-0.229976,0.31148,0.865069
0.100753,0.375851,0.825443
0.2965,0.248815,0.907683
-0.0076146,-0.38883,1.05225
-0.172384,-0.203189,1.05361
0.0670714,-0.160506,0.990242
0.319961,-0.220727,1.05213
-0.253331,0.0750854,0.941524
0.387546,0.0287885,0.975165
-0.0235818,0.141016,1.00865
-0.0522205,0.386154,1.02155
0.174749,-0.342614,1.21202
-0.385658,0.0382347,1.14786
-0.0537969,-0.0306574,1.18585
0.174531,0.029166,1.10423
0.385422,-0.0433494,1.21344
0.327885,0.209625,1.1713
-0.284799,0.262222,1.10318
0.13381,0.364941,1.18442
-0.1535,-0.355763,1.25194
-0.338359,-0.189172,1.23931
0.150814,-0.106116,1.30952
-0.200536,0.135225,1.30081
0.073085,0.151535,1.29683
-0.122405,0.369608,1.25792
-0.2545,-0.294735,1.50513
0.0341544,-0.387051,1.41319
0.262231,-0.288671,1.43595
-0.0763594,-0.160492,1.39639
-0.389375,-2.0934e-05,1.39284
-0.131871,0.0469712,1.52421
0.38007,0.0857512,1.42506
-0.229187,0.312615,1.47415
0.0294361,0.388017,1.45257
0.252037,0.296218,1.39297
-0.0653056,-0.382004,1.64166
0.179207,-0.34466,1.663
-0.373412,-0.107,1.61735
0.114105,-0.128723,1.55419
0.371896,-0.11319,1.57247
-0.361909,0.141235,1.59478
0.125682,0.119071,1.53774
0.357488,0.153255,1.66428
-0.0895402,0.378127,1.66932
0.193484,0.338286,1.6332
-0.26467,-0.285443,1.7547
0.0225044,-0.187033,1.77665
-0.183753,-0.0465891,1.76497
0.228127,-0.0382184,1.7566
-0.373604,0.106317,1.8387
-0.0300711,0.144859,1.73041
0.184491,0.203568,1.8421
-0.0798235,-0.379743,1.89386
0.294046,-0.253672,1.86248
-0.366056,-0.128922,1.91856
-0.125823,-0.151088,1.98245
0.060999,0.00463899,1.92949
0.382331,0.0743895,1.91793
-0.164502,0.0966174,1.97026
-0.232326,0.31045,1.85991
0.0239151,0.388618,1.88979
-0.169765,-0.350278,2.12407
0.178416,-0.346156,2.06331
0.1289,-0.115085,2.1356
0.367124,-0.127307,2.0626
-0.384323,0.0578136,2.08189
0.0618956,0.213218,2.05909
-0.270902,0.278927,2.10262
0.307342,0.238221,2.09085
0.0338971,-0.385268,2.26321
0.30539,-0.240235,2.27559
-0.345558,-0.176832,2.16292
-0.100579,-0.135759,2.22943
0.386296,0.05009,2.2349
-0.111835,0.121701,2.21198
0.146271,0.0986641,2.26064
-0.0612464,0.384866,2.18621
0.171442,0.347931,2.26953
-0.199667,-0.332996,2.37041
0.178621,-0.345646,2.46224
-0.361104,-0.147992,2.41321
0.117967,-0.116066,2.38465
-0.167327,0.00354581,2.42248
0.381673,-0.0777791,2.44901
-0.378984,0.0894996,2.32657
0.0217532,0.152836,2.46516
0.349398,0.169729,2.45
-0.246991,0.300067,2.34873
-0.0295,0.389437,2.43209
-0.0467849,-0.386913,2.55956
-0.184625,-0.181598,2.58541
0.0716592,-0.166717,2.62413
-0.367828,0.0549147,2.57159
-0.229532,0.313369,2.59588
0.191613,0.339182,2.54078
-0.176413,-0.346963,2.76952
0.101583,-0.374847,2.75871
-0.367881,-0.124934,2.74357
0.314914,-0.229357,2.63502
-0.339716,0.18805,2.77959
-0.130031,0.089867,2.6521
0.136759,0.133791,2.67917
0.380115,0.0873152,2.68569
-0.008175,0.388352,2.68048
0.272018,-0.27972,2.91269
-0.089846,-0.116228,2.80733
0.221066,-0.0663443,2.7974
0.383377,0.0652713,2.93457
-0.13631,0.111176,2.89854
0.109904,0.12787,2.92514
-0.0177849,0.369197,2.92816
0.199502,0.334955,2.80972
-0.3072,-0.239547,2.95593
-0.0831467,-0.376985,2.99764
-0.147701,-0.0793071,3.05725
0.0812199,-0.142166,2.98719
-0.377335,0.0126474,2.95115
-0.245221,0.302354,3.01312
0.272457,0.277362,3.04137
-0.226545,-0.316119,3.19169
0.139937,-0.363017,3.10625
-0.371375,-0.115879,3.16351
0.0207474,-0.170413,3.2256
0.356094,-0.15751,3.11353
0.140696,0.034554,3.15237
-0.362866,0.137818,3.16596
-0.0776394,0.152443,3.13646
0.38162,0.0800984,3.1862
-0.0160139,0.389268,3.17599
-0.0333286,-0.388507,3.33091
