x,y,z
-0.0946405,-0.28047,0.665282
0.287009,-0.0709153,0.664457
-0.2711,0.117897,0.664807
0.094368,0.280844,0.821953
-0.270738,-0.119715,1.02336
0.145935,-0.257665,1.02273
-0.0918307,-0.281727,1.37589
-0.143762,0.259233,1.18245
0.269852,0.121765,1.18356
0.27151,-0.117875,1.54405
-0.288245,0.0679964,1.54445
0.0917769,0.280632,1.54442
-0.151686,-0.25472,1.797
-0.14126,0.260346,1.91392
0.269944,0.121789,1.90479
-0.28756,-0.06751,2.15869
0.155331,-0.252292,2.09533
-0.0480793,-0.28902,2.48316
0.283278,0.0801587,2.33955
0.271519,-0.117196,2.72912
-0.288471,0.0654976,2.56975
0.0749326,0.286685,2.65614
-0.198428,-0.219623,2.88806
-0.208657,0.207935,2.97416
0.23502,0.17891,3.0481
-0.285426,-0.076861,3.29343
0.162277,-0.246307,3.13294
-0.0420876,0.289192,3.36703
0.00304053,-0.294686,3.53885
0.294369,0.0213981,3.45135
0.25995,-0.141053,3.85528
-0.274284,0.10919,3.69075
0.126289,0.266688,3.77169
-0.172413,-0.239264,3.93502
-0.170552,0.241618,4.09639
0.249761,0.154533,4.17689
-0.276384,-0.104589,4.33989
0.130538,-0.26101,4.25452
-0.0394917,-0.292589,4.65869
0.291802,-0.0179741,4.57923
-0.288713,0.0631498,4.75147
-0.00921806,0.292057,4.50435
0.240058,-0.169606,4.9936
0.157698,0.254057,4.9189
-0.190548,-0.235123,5.06759
-0.224486,0.237443,5.14518
0.336502,0.12761,5.29602
0.131712,-0.36246,5.37457
-0.394713,-0.0720816,5.41906
0.0365498,0.4107,5.4541
-0.246549,-0.428336,5.62804
0.189115,-0.501952,5.801
-0.535243,-0.034482,5.85887
0.020079,-0.0246536,5.62366
0.439639,-0.153243,5.63247
0.375294,0.278406,5.70542
-0.369985,0.323423,5.61662
0.151225,0.623701,5.8585
-0.144939,-0.695034,6.02269
0.31336,-0.784634,6.11564
-0.516647,-0.473129,5.96391
0.575184,-0.410472,5.99449
-0.831073,-0.21632,6.11671
-0.142263,-0.213534,5.99868
0.275188,-0.0724262,6.05406
-0.090368,0.256466,5.95538
0.700511,0.0470869,5.93994
-0.671307,0.407224,6.09245
0.53434,0.515591,6.03766
-0.326061,0.623609,5.94003
