x,y,z
-0.245782,-0.593693,0.135749
0.113657,-0.644957,0.146786
-0.0515038,-0.542524,0.115332
0.283421,-0.472146,0.0920563
-0.37658,-0.450089,0.113967
-0.192486,-0.41741,0.100187
0.100144,-0.436141,0.0935086
0.455926,-0.405132,0.10584
-0.545496,-0.259137,0.0936198
-0.382837,-0.277781,0.183562
-0.0390557,-0.309909,0.0936441
0.243204,-0.289418,0.0927877
-0.404708,-0.11769,0.0914176
-0.223887,-0.232651,0.0943487
-0.0698459,-0.12534,0.0936553
0.114499,-0.153288,0.092957
0.497849,-0.224885,0.0920873
-0.620981,-0.0907688,0.125988
0.369359,-0.0888872,0.0942238
0.572025,-0.0532721,0.0941284
-0.698085,0.0819174,0.170286
-0.515836,0.0498824,0.191231
-0.358287,0.0628376,0.0924717
-0.192012,0.00320285,0.150384
0.0330319,0.0696291,0.0926217
0.209467,0.00785423,0.103645
0.377728,0.0984081,0.092432
0.651413,0.0959894,0.173961
-0.52097,0.21002,0.0939025
-0.212516,0.180391,0.0938053
0.216996,0.194615,0.093791
0.528095,0.20954,0.0952488
-0.0238148,0.247411,0.0925483
0.368518,0.303292,0.0925287
-0.397639,0.360794,0.0907456
-0.0673802,0.430341,0.0950248
0.198004,0.381004,0.091507
0.516417,0.42719,0.179361
-0.313315,0.519672,0.135505
0.175587,0.565158,0.0957648
0.344797,0.487084,0.135218
-0.17409,0.639218,0.161447
-0.00327264,0.613904,0.0953985
-0.106788,-0.687183,0.217574
0.296466,-0.625198,0.194747
-0.390771,-0.574355,0.250764
-0.146938,-0.516499,0.27289
0.0355832,-0.541524,0.278906
0.446867,-0.525937,0.245937
-0.528116,-0.402268,0.213408
-0.299749,-0.41489,0.279625
0.196195,-0.451042,0.255384
0.575525,-0.386081,0.247081
-0.0987871,-0.337014,0.268531
0.102974,-0.294782,0.214133
0.37393,-0.287504,0.224482
-0.645447,-0.231098,0.248124
-0.49023,-0.130121,0.25291
-0.294031,-0.123745,0.240114
-0.112695,-0.151373,0.273617
0.247218,-0.150608,0.222735
0.477434,-0.134471,0.251349
0.64089,-0.216504,0.209892
-0.697533,-0.0577834,0.293001
0.0387418,-0.0526119,0.230243
0.700555,-0.0530589,0.274456
-0.350551,0.0485082,0.278506
0.481768,0.0511647,0.237981
-0.364714,0.215264,0.197094
-0.0808646,0.131138,0.227054
0.116924,0.17686,0.249214
0.316795,0.139015,0.262668
-0.638595,0.247212,0.23383
-0.151294,0.310602,0.212397
0.271564,0.31994,0.246041
0.452355,0.269251,0.255793
0.644358,0.27651,0.225664
-0.537131,0.401095,0.205207
-0.343682,0.386718,0.265818
0.0607601,0.358884,0.213102
-0.422477,0.558548,0.280656
-0.176506,0.486708,0.266441
0.00536248,0.529688,0.261162
0.189433,0.485495,0.261322
0.424215,0.558942,0.287967
-0.0597154,0.700176,0.294271
0.112442,0.680381,0.226168
-0.187907,-0.675291,0.382881
-0.00410797,-0.701904,0.368592
0.172949,-0.677767,0.321368
0.340833,-0.611251,0.374042
-0.49525,-0.494664,0.380738
-0.17983,-0.417792,0.425129
0.051259,-0.379778,0.372051
0.348134,-0.416636,0.356997
0.523434,-0.466685,0.40569
-0.609244,-0.348811,0.38618
-0.429345,-0.310327,0.361189
-0.242743,-0.256715,0.357061
0.221996,-0.277948,0.357975
0.484196,-0.286834,0.373686
-0.433278,-0.136712,0.427358
0.0513042,-0.188513,0.355356
0.667382,-0.211598,0.39492
0.34236,-0.0896244,0.370174
0.526047,-0.0316615,0.39874
-0.540075,0.00429439,0.370535
-0.176205,0.0119122,0.336704
0.0232171,0.0696203,0.36924
0.192533,0.0105921,0.314459
0.690541,0.114868,0.355042
-0.692688,0.117985,0.355839
-0.491855,0.179809,0.32625
-0.234411,0.187379,0.324776
0.509801,0.154052,0.390439
