x,y,z
-0.307659,-0.556423,0.0695363
0.20128,-0.572644,0.048269
0.352521,-0.546732,0.0415312
-0.15557,-0.523722,0.0555977
0.0477627,-0.518343,0.045832
-0.433599,-0.410878,0.0500282
-0.261619,-0.410997,0.0397774
-0.0546388,-0.385718,0.0340499
0.171801,-0.424102,0.0319541
0.42391,-0.410739,0.0325858
-0.523329,-0.284026,0.0350513
-0.348865,-0.281616,0.0348095
-0.191368,-0.272734,0.0286117
0.108994,-0.284423,0.0287127
0.293241,-0.327257,0.0306956
-0.616864,-0.163427,0.0666061
-0.0366649,-0.23079,0.0322309
0.248547,-0.178234,0.0307402
0.40947,-0.224794,0.0335927
0.551989,-0.167482,0.0455176
-0.485371,-0.10217,0.0284708
-0.33332,-0.128189,0.0321804
-0.126842,-0.104477,0.03173
0.075082,-0.0680364,0.0293399
0.353463,-0.0608452,0.0295892
-0.378535,0.0300961,0.0316535
-0.2237,0.0169101,0.0312531
-0.0478029,0.0306173,0.0330808
0.503674,-0.0214782,0.0336838
-0.534463,0.052189,0.0337675
0.264202,0.0649508,0.028759
0.626912,0.0706588,0.0392025
-0.514336,0.215224,0.0322442
-0.343571,0.206063,0.0278236
-0.154402,0.168009,0.0344981
0.10936,0.201047,0.0313682
0.382378,0.162606,0.0322058
0.533754,0.192186,0.0349052
-0.179874,0.342812,0.0311175
-0.0374844,0.283075,0.0286229
0.25834,0.25507,0.0298695
0.426963,0.310184,0.0342281
-0.483199,0.366971,0.0359616
-0.330093,0.369057,0.0338078
-0.0585945,0.437478,0.0324911
0.0984894,0.354204,0.0349083
-0.230874,0.493208,0.0350591
0.20551,0.462844,0.0299703
-0.0916908,0.587889,0.0456684
0.152546,0.606926,0.0425564
-0.202147,-0.667713,0.0889796
0.0948384,-0.66947,0.097795
0.292173,-0.649547,0.145199
-0.0518247,-0.63658,0.0755545
-0.429034,-0.52208,0.158535
0.505613,-0.461419,0.150978
-0.549902,-0.39738,0.152042
-0.145059,-0.416106,0.154773
0.0081503,-0.438676,0.163405
0.288062,-0.444149,0.128507
-0.261017,-0.315263,0.155282
-0.114139,-0.268377,0.156514
0.0347175,-0.289564,0.153825
0.242521,-0.265109,0.156925
0.384285,-0.327273,0.154514
0.537404,-0.323195,0.0857756
-0.457472,-0.196212,0.142318
-0.226304,-0.167728,0.130374
0.127523,-0.171324,0.123014
0.479924,-0.211707,0.170524
0.649437,-0.2457,0.157784
-0.018077,-0.118932,0.137605
0.227908,-0.0526697,0.115545
0.343344,-0.147533,0.146809
0.648547,-0.067271,0.115208
-0.662837,-0.0168361,0.0885186
-0.461923,-0.0227944,0.147056
-0.314425,-0.0447115,0.155528
-0.162421,-0.0288013,0.158204
0.402738,0.0456061,0.125006
0.551628,0.0436798,0.165707
-0.443667,0.126011,0.130667
-0.291889,0.10833,0.129825
0.125076,0.0611338,0.0882241
-0.646615,0.15506,0.0867601
-0.018006,0.162397,0.109554
0.191574,0.221464,0.155587
0.345358,0.242783,0.154399
0.66533,0.210381,0.115205
-0.59188,0.308447,0.127164
-0.420243,0.27543,0.135717
-0.265846,0.271457,0.134101
-0.114122,0.284731,0.15276
0.0537592,0.286151,0.167683
0.567687,0.32932,0.0967687
-0.187584,0.421968,0.162743
0.173173,0.398858,0.161097
0.310136,0.380556,0.100089
-0.528792,0.44936,0.156619
-0.378221,0.507303,0.0848902
0.0691037,0.491924,0.0967929
0.231029,0.543108,0.154894
0.380698,0.517437,0.0967021
0.537222,0.475281,0.147035
-0.230743,0.628211,0.10976
0.0296259,0.669722,0.109824
0.175881,0.695185,0.169426
-0.156018,-0.701285,0.23202
-0.00756435,-0.71197,0.20484
0.164965,-0.696327,0.229225
-0.274196,-0.608605,0.2081
-0.104352,-0.559608,0.195204
0.0480114,-0.574194,0.22143
0.194233,-0.547433,0.19304
-0.292731,-0.460278,0.18117
0.384877,-0.542955,0.197776
0.153014,-0.389638,0.177698
0.282058,-0.370203,0.259381
0.609317,-0.376638,0.22825
-0.595564,-0.256241,0.182593
-0.412234,-0.338284,0.180581
-0.340342,-0.216078,0.240164
-0.0801677,-0.16898,0.262864
0.072559,-0.191687,0.260651
0.343528,-0.22766,0.26619
-0.702428,-0.12804,0.192077
-0.560477,-0.109922,0.218601
-0.227794,-0.110855,0.265823
0.218554,-0.139726,0.239514
0.4565,-0.0660554,0.212804
0.589192,-0.136841,0.238961
0.717484,-0.0548324,0.259406
-0.718187,0.0269218,0.223844
-0.254311,0.0449451,0.259444
-0.0266272,0.0290155,0.181141
0.103393,-0.0427594,0.197305
0.319363,-0.0255994,0.266537
-0.575976,0.0683106,0.186262
-0.407426,0.0606042,0.260356
-0.148845,0.125196,0.179798
0.0842901,0.128521,0.213426
0.263261,0.0857736,0.173546
0.390827,0.134313,0.246571
0.698911,0.0812257,0.193375
-0.682009,0.226002,0.219041
-0.528555,0.209083,0.224636
-0.345551,0.197285,0.240806
-0.0427655,0.206943,0.256989
0.503058,0.218869,0.183626
0.68345,0.217766,0.266736
-0.202894,0.248186,0.263948
-0.622384,0.361839,0.267187
-0.47135,0.349285,0.252565
-0.339517,0.396395,0.183132
-0.0341925,0.409715,0.17685
0.441469,0.361988,0.174957
0.622377,0.356913,0.234523
-0.291114,0.537605,0.214825
0.337507,0.459829,0.225584
-0.44331,0.564231,0.212148
-0.0343956,0.55899,0.184786
0.108703,0.581993,0.240082
0.441935,0.568062,0.2302
-0.11513,0.688708,0.191201
0.0302042,0.714802,0.256497
0.307252,0.646597,0.238624
-0.253737,-0.671425,0.345135
0.058835,-0.713967,0.339526
0.274278,-0.663416,0.329289
-0.402752,-0.595003,0.291212
-0.137542,-0.568145,0.341034
0.409133,-0.591233,0.342485
-0.525658,-0.490437,0.271301
-0.28153,-0.511084,0.325064
-0.0239668,-0.471065,0.30452
0.132572,-0.476871,0.308031
0.282913,-0.512109,0.310248
0.526343,-0.49155,0.362151
-0.615777,-0.366954,0.288668
-0.456659,-0.373516,0.332325
-0.311474,-0.36397,0.290326
-0.166189,-0.412932,0.300498
0.430378,-0.415397,0.271028
-0.201283,-0.261423,0.2782
-0.0717834,-0.299906,0.34175
0.0612096,-0.344753,0.288418
0.189995,-0.26689,0.32326
0.502372,-0.283036,0.302921
-0.681848,-0.226279,0.307647
-0.488243,-0.230183,0.287664
0.674743,-0.245043,0.308742
-0.712722,-0.0764379,0.337293
-0.418641,-0.0916895,0.271136
0.0360379,-0.0615355,0.326574
0.418316,-0.1205,0.34704
-0.537851,0.00604437,0.317475
-0.106374,-0.0220656,0.29789
0.184457,0.0445629,0.293352
